mix_id,w_c_ratio,w_b_ratio,k_flag,wb_k_reported
13031,,0.75,TRUE,0.75
12781,,0.75,TRUE,0.75
13046,,0.75,TRUE,0.75
13049,,0.75,TRUE,0.75
13052,,0.75,TRUE,0.75
13055,,0.75,TRUE,0.75
13058,,0.75,TRUE,0.75
13027,,0.75,TRUE,0.75
13061,,0.75,TRUE,0.75
12489,,0.75,TRUE,0.68
12493,,0.75,TRUE,0.68
12497,,0.75,TRUE,0.68
12501,,0.75,TRUE,0.68
12505,,0.75,TRUE,0.68
12508,,0.75,TRUE,0.68
12521,,0.75,TRUE,0.68
6585,,0.749,FALSE,
6615,,0.749,FALSE,
6567,,0.749,FALSE,
6603,,0.749,FALSE,
6597,,0.749,FALSE,
6579,,0.749,FALSE,
6633,,0.749,FALSE,
6621,,0.749,FALSE,
13425,,0.748,TRUE,0.73
13497,,0.746,TRUE,0.66
13064,,0.744,TRUE,0.66
12814,,0.741,TRUE,0.65
12812,,0.741,TRUE,0.65
814,0.74,0.74,FALSE,
599,0.74,0.74,FALSE,
597,0.74,0.74,FALSE,
13522,,0.737,TRUE,0.48
12779,,0.737,TRUE,0.67
12910,,0.736,TRUE,0.65
13528,,0.735,TRUE,0.47
13525,,0.735,TRUE,0.48
13519,,0.735,TRUE,0.65
13534,,0.733,TRUE,0.65
12808,,0.733,TRUE,0.65
13535,,0.733,TRUE,0.65
13533,,0.733,TRUE,0.65
13536,,0.733,TRUE,0.65
12519,,0.731,TRUE,0.7
815,0.73,0.73,FALSE,
13515,,0.73,TRUE,0.64
13501,,0.73,TRUE,0.65
648,0.73,0.73,FALSE,
647,0.73,0.73,FALSE,
807,0.73,0.73,FALSE,
806,0.73,0.73,FALSE,
13226,,0.729,TRUE,0.64
13225,,0.729,TRUE,0.66
13516,,0.728,TRUE,0.64
13520,,0.728,TRUE,0.64
13517,,0.726,TRUE,0.64
13177,,0.723,TRUE,0.64
13569,,0.721,TRUE,0.64
8102,0.72,0.72,FALSE,
8103,0.72,0.72,FALSE,
8105,0.72,0.72,FALSE,
23331,,0.72,FALSE,
8104,0.72,0.72,FALSE,
13496,,0.719,TRUE,0.63
13399,,0.716,TRUE,0.61
13433,,0.715,TRUE,0.61
13454,,0.715,TRUE,0.61
13451,,0.715,TRUE,0.61
13432,,0.715,TRUE,0.61
13457,,0.715,TRUE,0.61
13430,,0.715,TRUE,0.61
13438,,0.715,TRUE,0.61
13450,,0.715,TRUE,0.61
13439,,0.715,TRUE,0.61
13444,,0.715,TRUE,0.61
13445,,0.715,TRUE,0.61
13448,,0.715,TRUE,0.61
13442,,0.715,TRUE,0.61
13436,,0.715,TRUE,0.61
13456,,0.715,TRUE,0.61
12783,,0.714,TRUE,0.63
12785,,0.714,TRUE,0.63
13196,,0.714,TRUE,0.63
12763,,0.714,TRUE,0.63
12761,,0.714,TRUE,0.63
13198,,0.714,TRUE,0.63
13197,,0.714,TRUE,0.63
12990,,0.712,TRUE,0.71
12993,,0.711,TRUE,0.71
13184,,0.708,TRUE,0.63
13181,,0.708,TRUE,0.63
13408,,0.706,TRUE,0.73
13426,,0.705,TRUE,0.73
12909,,0.703,TRUE,0.7
12968,,0.702,TRUE,0.62
12916,,0.7,TRUE,0.7
13811,,0.7,TRUE,0.7
5086,,0.7,FALSE,
5084,,0.7,FALSE,
5081,,0.7,FALSE,
5063,,0.7,FALSE,
5061,,0.7,FALSE,
13410,,0.7,TRUE,0.7
12728,,0.7,TRUE,0.7
8098,0.7,0.7,FALSE,
8099,0.7,0.7,FALSE,
12653,,0.7,TRUE,0.7
8100,0.7,0.7,FALSE,
8101,0.7,0.7,FALSE,
12746,,0.7,TRUE,0.7
6235,,0.7,FALSE,
6234,,0.7,FALSE,
6231,,0.7,FALSE,
6230,,0.7,FALSE,
6227,,0.7,FALSE,
6226,,0.7,FALSE,
12737,,0.7,TRUE,0.7
12698,,0.7,TRUE,0.7
5851,,0.7,FALSE,
5059,,0.7,FALSE,
5082,,0.7,FALSE,
5058,,0.7,FALSE,
23509,,0.7,FALSE,
23508,,0.7,FALSE,
12689,,0.7,TRUE,0.7
949,1.22,0.7,FALSE,
886,1.21,0.697,FALSE,
13146,,0.696,TRUE,0.61
13182,,0.693,TRUE,0.61
13180,,0.693,TRUE,0.61
13462,,0.693,TRUE,0.63
13464,,0.693,TRUE,0.63
13173,,0.693,TRUE,0.61
12972,,0.692,TRUE,0.69
617,0.69,0.69,FALSE,
8097,0.69,0.69,FALSE,
620,0.69,0.69,FALSE,
619,0.69,0.69,FALSE,
622,0.69,0.69,FALSE,
621,0.69,0.69,FALSE,
618,0.69,0.69,FALSE,
13124,,0.689,TRUE,0.63
4502,,0.688,FALSE,
12514,,0.688,TRUE,0.63
12520,,0.688,TRUE,0.63
12791,,0.688,TRUE,0.61
12790,,0.688,TRUE,0.61
12789,,0.688,TRUE,0.61
12770,,0.688,TRUE,0.61
12769,,0.688,TRUE,0.61
12523,,0.688,TRUE,0.61
4527,,0.688,FALSE,
4522,,0.688,FALSE,
4512,,0.688,FALSE,
4507,,0.688,FALSE,
4517,,0.688,FALSE,
13166,,0.687,TRUE,0.61
13476,,0.685,TRUE,0.62
13568,,0.684,TRUE,0.63
4850,,0.683,FALSE,
4832,,0.683,FALSE,
4834,,0.683,FALSE,
4848,,0.683,FALSE,
13167,,0.683,TRUE,0.6
4835,,0.683,FALSE,
4849,,0.683,FALSE,
4851,,0.683,FALSE,
4833,,0.683,FALSE,
13164,,0.68,TRUE,0.6
8094,0.68,0.68,FALSE,
8093,0.68,0.68,FALSE,
8096,0.68,0.68,FALSE,
13163,,0.68,TRUE,0.68
8092,0.68,0.68,FALSE,
13165,,0.68,TRUE,0.6
8090,0.68,0.68,FALSE,
8089,0.68,0.68,FALSE,
8095,0.68,0.68,FALSE,
8091,0.68,0.68,FALSE,
12806,,0.679,TRUE,0.64
12800,,0.679,TRUE,0.64
13186,,0.678,TRUE,0.6
13188,,0.678,TRUE,0.6
13567,,0.676,TRUE,0.65
12492,,0.675,TRUE,0.61
12494,,0.675,TRUE,0.61
12491,,0.675,TRUE,0.61
12495,,0.675,TRUE,0.61
12518,,0.675,TRUE,0.64
12490,,0.675,TRUE,0.61
12488,,0.675,TRUE,0.61
12486,,0.675,TRUE,0.61
12528,,0.675,TRUE,0.61
