reference_no,study_no,Authors,year of study,Type of binder,SiO2 - Chemical compostion (w.r. %),Al2O3 - Chemical compostion (w.r. %),Fe2O3 - Chemical compostion (w.r. %),CaO - Chemical compostion (w.r. %),MgO - Chemical compostion (w.r. %),Na2O - Chemical compostion (w.r. %),K2O - Chemical compostion (w.r. %),SO3 - Chemical compostion (w.r. %),TiO2 - Chemical compostion (w.r. %),P2O5 - Chemical compostion (w.r. %),SrO - Chemical compostion (w.r. %),Mn2O3 - Chemical compostion (w.r. %),LOI - Chemical compostion (w.r. %),blaine_fineness_ssa_m2_kg,d50-median_particle_size_mm,Reactivity_modulus,silica_modulus,alumina_modulus,specific_gravity
[72],29,Kubissa et al.,2015,FA,60.5,5.45,3.43,20.6,3.27,0.17,0.33,4.42,,,,,,285,,0.48,6.81,1.59,2.17
[72],29,Kubissa et al.,2015,SF,92,0.7,1.2,0.3,0.2,1.5,1.8,0.3,,,,,,2240,,0.01,48.42,0.58,2.2
[72],29,Kubissa et al.,2015,MK,42,52,1.3,0.3,0.4,0.8,0.8,,,,,,,1200,,1.25,0.79,40.00,2.61
[73],30,Saravanakumar and Dhinakaran,2015,OPC,24.5,7,0.55,63,2,0.4,0.6,,,,,,,,,2.94,3.25,12.73,
[73],30,Saravanakumar and Dhinakaran,2015,GGBFS,34.01,16.62,1.71,34.85,9.11,0.48,0.46,,,,,,,,,1.78,1.86,9.72,
[74],31,Wardeh et al.,2015,OPC,19.8,5.14,2.3,64.9,0.9,0.005,1.1,3.4,,,,,,395,,3.58,2.66,2.23,3.11
[75],32,Faella et al.,2016,OPC,18.9,4.9,3.66,64.06,0.82,,,,,,,,,,,3.69,2.21,1.34,
[75],32,Faella et al.,2016,FA,46.9,28.5,6.22,2.3,1.23,,,,,,,,,,,0.68,1.35,4.58,
[76],33,Jalilifar et al.,2016,OPC,21.28,6.1,3.7,64.34,2.1,,,,,,,,,,,3.41,2.17,1.65,
[76],33,Jalilifar et al.,2016,FA,56.7,28.2,5.3,2.8,5.2,,,,,,,,,,,0.64,1.69,5.32,
[76],33,Jalilifar et al.,2016,SF,94.73,1.32,0.87,0.49,0.97,,,,,,,,,,,0.03,43.26,1.52,
[77],34,Kapoor et al.,2016,OPC,20.1,6.8,4.3,61.3,2.6,,,,,,,,,,,3.52,1.81,1.58,3.15
[77],34,Kapoor et al.,2016,FA,56.5,17.7,11,3.2,5.21,,,,,,,,,,,0.46,1.97,1.61,2.38
[77],34,Kapoor et al.,2016,SF,92,0.7,1.2,0.3,0.2,,,,,,,,,,,0.01,48.42,0.58,2.2
[77],34,Kapoor et al.,2016,MK,52.1,41,4.32,0.39,0.1,,,,,,,,,,,0.80,1.15,9.49,2.6
[78],35,Kubissa et al.,2016,OPC-32.5,27.23,10.29,3.32,48.28,2.1,0.36,1.43,2.37,,,,,,410,,2.23,2.00,3.10,2.9
[78],35,Kubissa et al.,2016,OPC-42.5,21.6,4.94,2.3,64.2,2.18,0.13,0.86,3.18,,,,,,353,,3.30,2.98,2.15,3.09
[78],35,Kubissa et al.,2016,FA,51.2,30.26,5.36,2.77,1.84,0.52,2.64,0.4,,,,,,315,,0.68,1.44,5.65,1.95
[78],35,Kubissa et al.,2016,SF,92,0.7,1.2,0.3,0.2,1.5,1.8,0.3,,,,,,2240,,0.01,48.42,0.58,2.2
[78],35,Kubissa et al.,2016,MK,42,52,1.3,0.3,0.4,0.8,0.8,,,,,,,1200,,1.25,0.79,40.00,2.61
[79],36,Alnahhal et al.,2017,OPC,21,5.9,3.4,64.7,2.5,,1,2.4,,,,,,351,22.47,3.48,2.26,1.74,3.14
[79],36,Alnahhal et al.,2017,POFA,64.17,3.73,6.33,5.8,3.46,,5.56,0.74,,,,,,506,17.62,0.20,6.38,0.59,2.14
[79],36,Alnahhal et al.,2017,POCP,60.29,5.83,4.71,3.28,4.2,,7.24,0.31,,,,,,383,37.97,0.22,5.72,1.24,2.53
[79],36,Alnahhal et al.,2017,RHA,91,0.35,0.41,0.49,0.81,,21.6,1.21,,,,,,655,19.41,0.02,119.74,0.85,2.03
[80],37,Khodair and Bommareddy,2017,OPC,23,4.5,2,64,4.5,,,2.8,,,,,,,,3.17,3.54,2.25,3.12
[80],37,Khodair and Bommareddy,2017,FA,40,23,6.1,27,5,,,2.8,,,,,,,,1.38,1.37,3.77,2.1
[80],37,Khodair and Bommareddy,2017,GGBFS,40,14,1.8,38,4,,,0.2,,,,,,,,1.40,2.53,7.78,2.9
[81],38,Kubissa et al.,2017,OPC,30.16,6.16,1.87,53.86,3.39,0.32,0.63,2.23,,,,,,545,,2.10,3.76,3.29,2.91
[81],38,Kubissa et al.,2017,FA,51.67,31.32,5.26,1.46,1.73,0.52,2.64,0.4,,,,,,315,,0.67,1.41,5.95,1.95
[81],38,Kubissa et al.,2017,SF,95.4,0.4,0.3,0.3,0.5,0.2,1.6,0.8,,,,,,2450,,0.01,136.29,1.33,2.45
[81],38,Kubissa et al.,2017,MK,53.1,41.7,1.08,0.13,0.18,,,0.71,,,,,,346,,0.79,1.24,38.61,2.5
[81],38,Kubissa et al.,2017,FFA,35.64,32.19,6.06,12.71,0.6,0.46,0.41,4.87,,,,,,312,,1.28,0.93,5.31,1.81
[82],39,Male�ev et al.,2017,OPC,21.25,5.55,25.3,61.6,,0.25,0.72,3.75,,,,,,,,3.16,0.69,0.22,3.1
[82],39,Male�ev et al.,2017,FA,58.24,20.23,5.33,7.62,2.01,0.52,1.51,2.21,,,,,,,,0.51,2.28,3.80,2.1
[83],40,Prajapati and Jamani,2017,OPC,20.1,4.9,3.6,63.5,1.2,,,,,,,,,,,3.46,2.36,1.36,3.15
[83],40,Prajapati and Jamani,2017,GGBFS,35.26,8.2,1.23,38.77,4.1,,,,,,,,,,,1.45,3.74,6.67,2.44
[83],40,Prajapati and Jamani,2017,MK,54.9,41.7,1.07,0.06,0.84,,,,,,,,,,,0.78,1.28,38.97,2.77
[84],41,Sajedi and Jalilifar,2017,OPC,21.28,6.1,3.7,64.34,2.1,,,2.13,,,,,,,,3.41,2.17,1.65,
[84],41,Sajedi and Jalilifar,2017,Natural Zeolite,68,11.5,1.5,2.5,0.1,,,,,,,,,,,0.21,5.23,7.67,
[85],42,Shaikh,2017,OPC,21.1,5.24,3.1,64.39,1.1,0.23,0.57,2.52,,,,,,,,3.35,2.53,1.69,3.17
[85],42,Shaikh,2017,GGBFS,32.45,13.56,0.82,41.22,5.1,0.27,0.35,3.2,,,,,,,,1.85,2.26,16.54,
[85],42,Shaikh,2017,SF,88.31,0.89,1.6,1.28,0.15,0.2,1.98,,,,,,,,,0.03,35.47,0.56,
[86],43,Singh et al.,2017,OPC,18.01,4.37,4.86,63.64,3.27,0.52,0.53,2.99,,,,,,306,,3.96,1.95,0.90,3.15
[86],43,Singh et al.,2017,FA,57.62,30.14,4.6,1.56,0.64,0.08,2.13,0.14,,,,,,329,,0.56,1.66,6.55,2.34
[86],43,Singh et al.,2017,SF,90.06,0.71,1.12,2.23,0.25,0.32,0.95,0.63,,,,,,1959,,0.04,49.21,0.63,2.1
[86],43,Singh et al.,2017,MK,55.83,35.49,3.57,0.92,0.12,0.28,0.55,0.27,,,,,,1350,,0.65,1.43,9.94,2.62
[87],44,Sunayana and Barai,2017,OPC,22.48,7.12,3.01,59.03,1.77,0.36,1.33,4.2,0.37,,,,,306,,3.02,2.22,2.37,3.13
[87],44,Sunayana and Barai,2017,FA,55.81,35.17,4.61,1.55,0.57,0.09,1.82,0.25,1.91,,,,,322,,0.67,1.40,7.63,2.29
[88],45,T�fek�i and �ak?r,2017,OPC,20.12,4.92,3.57,64.48,1.23,0.24,0.89,2.88,,,,,,394,,3.51,2.37,1.38,3.14
[88],45,T�fek�i and �ak?r,2017,GGBFS,42.15,12.35,2.35,35.26,5.23,0.21,1.25,,,,,,,413,,1.25,2.87,5.26,2.91
[89],46,Majhi et al. ,2018,OPC,19.11,8.61,1.79,64.39,1.62,,,,,,,,,320,,3.90,1.84,4.81,3.11
[89],46,Majhi et al. ,2018,GGBFS,34,14,4,33,7,,,,,,,,,500,,1.59,1.89,3.50,2.82
[90],47,Padhi et al.,2018,OPC,20.63,7.24,1.33,63.96,2.27,0.43,1.21,1.37,,,,,,,,3.56,2.41,5.44,3.13
[90],47,Padhi et al.,2018,RHA,87.14,0.89,0.34,1.12,0.49,1.1,2.51,0.28,,,,,,,,0.03,70.85,2.62,2.15
[91],48,Rattanachu et al.,2018,OPC,20.1,4.8,3.5,65.5,1.3,,0.3,2.7,,,,,,,,3.56,2.42,1.37,3.15
[91],48,Rattanachu et al.,2018,BA,72,4.1,3,5.9,1.1,,4,1.2,,,,,,,,0.15,10.14,1.37,2.27
[92],49,Singh and Singh,2018,OPC,17.95,4.01,4.63,64.32,3.88,0.79,0.81,2.75,,,,,,316,,4.02,2.08,0.87,3.15
[92],49,Singh and Singh,2018,FA,58.45,28.15,5.87,1.98,0.85,0.15,1.88,0.18,,,,,,360,,0.53,1.72,4.80,2.24
[92],49,Singh and Singh,2018,SF,90.36,0.71,1.31,0.45,,0.45,1.52,0.41,,,,,,,,0.01,44.73,0.54,2.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
