reference_no,study_number,mix_number,author,year,specimen_code,Cement (kg/m3),fly_ash_kg_m3,ggbfs_kg_m3,silica_fume_kg_m3,kaolin_kgm3,other_scm1_kg_m3,other_scm1_type,other_scm2_kg_m3,other_scm2_type,nca_kg_m3,rca_kg_m3,nfa_kg_m3,rca_volume_ratio_%,water_kg_m3,added_water_kg_m3,superplasticizer_kg_m3,water_eff_kg_m3,wbr_total,b_coarseagg_ratio,binder_fineagg_ratio,nca1_sg,nca1_nms_mm,nca1_material_type,nca1_crushing_index_pct,nca1_la_abrasion_pct,nca1_fineness_modulus,nca1_w_abs_pct,nca2_sg,nca2_nms_mm,nca2_material_type,nca2_crushing_index_pct,nca2_la_abrasion_pct,nca2_fineness_modulus,nca2_w_abs_pct,rca1_sg,rca1_nms_mm,rca1_material_type,rca1_crushing_index_pct,rca1_la_abrasion_pct,rca1_fineness_modulus,rca1_w_abs_pct,rca2_sg,rca2_nms_mm,rca2_material_type,rca2_crushing_index_pct,rca2_la_abrasion_pct,rca2_fineness_modulus,rca2_w_abs_pct,nfa1_sg,nfa1_nms_mm,nfa1_material_type,nfa1_crushing_index_pct,nfa1_la_abrasion_pct,nfa1_fineness_modulus,nfa1_w_abs_pct,nfa2_sg,nfa2_nms_mm,nfa2_material_type,nfa2_crushing_index_pct,nfa2_la_abrasion_pct,nfa2_fineness_modulus,nfa2_w_abs_pct,reactivity_modulus,silica_modulus,alumina_modulus,cube_dimension,fc_cube_1d_mpa,fc_cube_3d_mpa,fc_cube_7d_mpa,fc_cube_14d_mpa,fc_cube_21d_mpa,fc_cube_28d_mpa,fc_cube_56d_mpa,fc_cube_90d_mpa,fc_cube_180d_mpa,cyl_dia_mm,cyl_height_mm,fc_cyl_1d_mpa,fc_cyl_3d_mpa,fc_cyl_7d_mpa,fc_cyl_14d_mpa,fc_cyl_21d_mpa,fc_cyl_28d_mpa,fc_cyl_56d_mpa,fc_cyl_90d_mpa,fc_cyl_180d_mpa
[44],1,25,Kou ,2006,R0,410,0,,,,,,,,1048,0,642,0%,225,,,225,0.55,0.39,0.64,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,12.8,23.3,30.2,,,48.6,,52.7,,,,,,,,,,,,
[44],1,26,Kou ,2006,R20,410,0,,,,,,,,840,204,642,20%,225,,,225,0.55,0.39,0.64,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,11.9,22.4,29.1,,,45.3,,50.8,,,,,,,,,,,,
[44],1,27,Kou ,2006,R50,410,0,,,,,,,,524,506,642,50%,225,,,225,0.55,0.4,0.64,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,11.6,21.8,27.6,,,42.5,,49.5,,,,,,,,,,,,
[44],1,28,Kou ,2006,R100,410,0,,,,,,,,0,1017,642,100%,225,,,225,0.55,0.4,0.64,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,10.2,18.6,24.4,,,38.1,,45.5,,,,,,,,,,,,
[44],1,29,Kou ,2006,a-R0,384.375,128.125,,,,,,,,992,0,582,0%,225,,,225,0.44,0.52,0.88,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,15.6,30.4,38.8,,,52.9,,68.8,,,,,,,,,,,,
[44],1,30,Kou ,2006,a-R20F25,384.375,128.125,,,,,,,,794,193,582,20%,225,,,225,0.44,0.52,0.88,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,14.8,29.5,37.9,,,50.1,,65.9,,,,,,,,,,,,
[44],1,31,Kou ,2006,a-R50F25,384.375,128.125,,,,,,,,496,482,582,50%,225,,,225,0.44,0.52,0.88,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,14.1,28.4,37,,,48.1,,63.7,,,,,,,,,,,,
[44],1,32,Kou ,2006,a-R100F25,384.375,128.125,,,,,,,,0,963,582,100%,225,,,225,0.44,0.53,0.88,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,16.3,29,36.3,,,45.3,,65.4,,,,,,,,,,,,
[44],1,33,Kou ,2006,a-R0F35,359.775,193.725,,,,,,,,1048,0,598,0%,225,,2.8,227,0.41,0.53,0.93,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.644805293,1.748800558,3.644466575,100,25.8,42.4,50.6,,,68.9,,75.8,,,,,,,,,,,,
[44],1,34,Kou ,2006,a-R20F35,359.775,193.725,,,,,,,,840,204,598,20%,225,,2.8,227,0.41,0.53,0.93,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.644805293,1.748800558,3.644466575,100,24.7,40.1,46.2,,,63,,76.2,,,,,,,,,,,,
[44],1,35,Kou ,2006,a-R50F35,359.775,193.725,,,,,,,,524,506,598,50%,225,,2.8,227,0.41,0.54,0.93,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.644805293,1.748800558,3.644466575,100,22.4,38.4,44.5,,,56.5,,73.5,,,,,,,,,,,,
