reference_no,study_number,mix_number,author,year,specimen_code,Cement (kg/m3),fly_ash_kg_m3,ggbfs_kg_m3,silica_fume_kg_m3,kaolin_kgm3,other_scm1_kg_m3,other_scm1_type,other_scm2_kg_m3,other_scm2_type,nca_kg_m3,rca_kg_m3,nfa_kg_m3,rca_volume_ratio_%,water_kg_m3,added_water_kg_m3,superplasticizer_kg_m3,water_eff_kg_m3,wbr_total,b_coarseagg_ratio,binder_fineagg_ratio,nca1_sg,nca1_nms_mm,nca1_material_type,nca1_crushing_index_pct,nca1_la_abrasion_pct,nca1_fineness_modulus,nca1_w_abs_pct,nca2_sg,nca2_nms_mm,nca2_material_type,nca2_crushing_index_pct,nca2_la_abrasion_pct,nca2_fineness_modulus,nca2_w_abs_pct,rca1_sg,rca1_nms_mm,rca1_material_type,rca1_crushing_index_pct,rca1_la_abrasion_pct,rca1_fineness_modulus,rca1_w_abs_pct,rca2_sg,rca2_nms_mm,rca2_material_type,rca2_crushing_index_pct,rca2_la_abrasion_pct,rca2_fineness_modulus,rca2_w_abs_pct,nfa1_sg,nfa1_nms_mm,nfa1_material_type,nfa1_crushing_index_pct,nfa1_la_abrasion_pct,nfa1_fineness_modulus,nfa1_w_abs_pct,nfa2_sg,nfa2_nms_mm,nfa2_material_type,nfa2_crushing_index_pct,nfa2_la_abrasion_pct,nfa2_fineness_modulus,nfa2_w_abs_pct,reactivity_modulus,silica_modulus,alumina_modulus,cube_dimension,fc_cube_1d_mpa,fc_cube_3d_mpa,fc_cube_7d_mpa,fc_cube_14d_mpa,fc_cube_21d_mpa,fc_cube_28d_mpa,fc_cube_56d_mpa,fc_cube_90d_mpa,fc_cube_180d_mpa,cyl_dia_mm,cyl_height_mm,fc_cyl_1d_mpa,fc_cyl_3d_mpa,fc_cyl_7d_mpa,fc_cyl_14d_mpa,fc_cyl_21d_mpa,fc_cyl_28d_mpa,fc_cyl_56d_mpa,fc_cyl_90d_mpa,fc_cyl_180d_mpa
[67],24,324,�ak?r,2014,RA100-SF5,332.5,,,17.5,,,,,,0,1170,874,100%,175,,1.73,176,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,3.290276876,2.928396573,1.347701149,150,,,,,,32,,,,,,,,,,,,,,
[67],24,325,�ak?r,2014,NA-SF10,315,,,35,,,,,,1170,0,874,0%,175,,1.5,176,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,3.117867186,3.539540816,1.333333333,150,,,,,,46.1,,,,,,,,,,,,,,
[67],24,326,�ak?r,2014,RA25-SF10,315,,,35,,,,,,877.5,292.5,874,25%,175,,1.62,176,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,3.117867186,3.539540816,1.333333333,150,,,,,,39,,,,,,,,,,,,,,
[67],24,327,�ak?r,2014,RA50-SF10,315,,,35,,,,,,585.5,585,874,50%,175,,1.62,176,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,3.117867186,3.539540816,1.333333333,150,,,,,,35,,,,,,,,,,,,,,
[67],24,328,�ak?r,2014,RA75-SF10,315,,,35,,,,,,292.5,877.5,874,75%,175,,1.73,176,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,3.117867186,3.539540816,1.333333333,150,,,,,,36,,,,,,,,,,,,,,
[67],24,329,�ak?r,2014,RA100-SF10,315,,,35,,,,,,0,1170,874,100%,175,,1.73,176,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,3.117867186,3.539540816,1.333333333,150,,,,,,35.6,,,,,,,,,,,,,,
[67],24,330,�ak?r,2014,NA-GGBFS30,245,,105,,,,,,,1170,0,874,0%,175,,2.08,176,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.925285091,2.358940145,2.956259427,150,,,,,,34.5,,,,,,,,,,,,,,
[67],24,331,�ak?r,2014,RA25-GGBFS30,245,,105,,,,,,,877.5,292.5,874,25%,175,,2.08,176,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.925285091,2.358940145,2.956259427,150,,,,,,31.5,,,,,,,,,,,,,,
[67],24,332,�ak?r,2014,RA50-GGBFS30,245,,105,,,,,,,585.5,585,874,50%,175,,2.08,176,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.925285091,2.358940145,2.956259427,150,,,,,,30.1,,,,,,,,,,,,,,
[67],24,333,�ak?r,2014,RA75-GGBFS30,245,,105,,,,,,,292.5,877.5,874,75%,175,,2.31,177,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.925285091,2.358940145,2.956259427,150,,,,,,29.4,,,,,,,,,,,,,,
[67],24,334,�ak?r,2014,RA100-GGBFS30,245,,105,,,,,,,0,1170,874,100%,175,,2.31,177,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.925285091,2.358940145,2.956259427,150,,,,,,25.3,,,,,,,,,,,,,,
[67],24,335,�ak?r,2014,NA-GGBFS60,140,,210,,,,,,,1170,0,874,0%,175,,2.31,177,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.387883616,2.355014418,6.32629108,150,,,,,,32.1,,,,,,,,,,,,,,
[67],24,336,�ak?r,2014,RA25-GGBFS60,140,,210,,,,,,,877.5,292.5,874,25%,175,,2.31,177,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.387883616,2.355014418,6.32629108,150,,,,,,28.4,,,,,,,,,,,,,,
[67],24,337,�ak?r,2014,RA50-GGBFS60,140,,210,,,,,,,585.5,585,874,50%,175,,2.31,177,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.387883616,2.355014418,6.32629108,150,,,,,,26.6,,,,,,,,,,,,,,
[67],24,338,�ak?r,2014,RA75-GGBFS60,140,,210,,,,,,,292.5,877.5,874,75%,175,,2.54,177,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.387883616,2.355014418,6.32629108,150,,,,,,25.7,,,,,,,,,,,,,,
[67],24,339,�ak?r,2014,RA100-GGBFS60,140,,210,,,,,,,0,1170,874,100%,175,,2.54,177,0.5,0.3,0.4,2.635,,,,23.35,5.47,2.2,,,,,,,,2.315,,C&D waste,,46.7,5.69,7.4,,,,,,,,2.55,,,,,,1.7,,,,,,,,2.387883616,2.355014418,6.32629108,150,,,,,,21.9,,,,,,,,,,,,,,
[68],25,340,Kwatra and Goyal,2014,A1-0-OPC,486,,,,,,,,,1256,,640,0%,206,,6.8,210,0.43,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,38.82,,,47.84,,,,,,,,,,,,,,
[68],25,341,Kwatra and Goyal,2014,A1-30-OPC,486,,,,,,,,,879,376,640,30%,206,,6.9,210,0.43,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,35.2,,,42.1,,,,,,,,,,,,,,
[68],25,342,Kwatra and Goyal,2014,A1-60-OPC,486,,,,,,,,,376,879,640,60%,206,,7,210,0.43,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,34.2,,,43.5,,,,,,,,,,,,,,
[68],25,343,Kwatra and Goyal,2014,A1-90-OPC,486,,,,,,,,,124,1131,640,90%,206,,7.1,210,0.43,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,33.6,,,38.2,,,,,,,,,,,,,,
[68],25,344,Kwatra and Goyal,2014,A2-0-OPC,453,,,,,,,,,1274,,651,0%,206,,4.6,209,0.46,0.36,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,37.72,,,45.72,,,,,,,,,,,,,,
[68],25,345,Kwatra and Goyal,2014,A2-30-OPC,453,,,,,,,,,891,382,651,30%,206,,4.7,209,0.46,0.36,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,35.2,,,43.68,,,,,,,,,,,,,,
[68],25,346,Kwatra and Goyal,2014,A2-60-OPC,453,,,,,,,,,382,891,651,60%,206,,4.8,209,0.46,0.36,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,32.8,,,41.4,,,,,,,,,,,,,,
[68],25,347,Kwatra and Goyal,2014,A2-90-OPC,453,,,,,,,,,131,1152,651,90%,206,,4.9,209,0.46,0.35,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,31.4,,,39.95,,,,,,,,,,,,,,
[68],25,348,Kwatra and Goyal,2014,A3-0-OPC,426,,,,,,,,,1291,,657,0%,206,,4.2,209,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,31.42,,,40.72,,,,,,,,,,,,,,
[68],25,349,Kwatra and Goyal,2014,A3-30-OPC,426,,,,,,,,,903,388,657,30%,206,,4.3,209,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,29.7,,,38.68,,,,,,,,,,,,,,
[68],25,350,Kwatra and Goyal,2014,A3-60-OPC,426,,,,,,,,,388,903,657,60%,206,,4.4,209,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,28.8,,,37.6,,,,,,,,,,,,,,
[68],25,351,Kwatra and Goyal,2014,A3-90-OPC,426,,,,,,,,,129,1162,657,90%,206,,4.5,209,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,27.9,,,35.45,,,,,,,,,,,,,,
[68],25,352,Kwatra and Goyal,2014,A4-0-OPC,400,,,,,,,,,1303,,663,0%,206,,2,207,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,31.28,,,38.84,,,,,,,,,,,,,,
[68],25,353,Kwatra and Goyal,2014,A4-30-OPC,400,,,,,,,,,912,391,663,30%,206,,2.1,207,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,29.84,,,36.45,,,,,,,,,,,,,,
[68],25,354,Kwatra and Goyal,2014,A4-60-OPC,400,,,,,,,,,391,912,663,60%,206,,2.2,207,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,27.98,,,35.3,,,,,,,,,,,,,,
[68],25,355,Kwatra and Goyal,2014,A4-90-OPC,400,,,,,,,,,130,1173,663,90%,206,,2.3,207,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,3.238883633,2.190673575,1.183257919,150,,,27.48,,,33.95,,,,,,,,,,,,,,
[68],25,356,Kwatra and Goyal,2014,A1-0-PPC,486,,,,,,,,,1256,,640,0%,206,,8.7,211,0.43,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,36.1,,,48.54,,,,,,,,,,,,,,
[68],25,357,Kwatra and Goyal,2014,A1-30-PPC,486,,,,,,,,,879,376,640,30%,206,,8.8,211,0.43,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,34.8,,,46.1,,,,,,,,,,,,,,
[68],25,358,Kwatra and Goyal,2014,A1-60-PPC,486,,,,,,,,,376,879,640,60%,206,,8.9,211,0.43,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,33.95,,,45.8,,,,,,,,,,,,,,
[68],25,359,Kwatra and Goyal,2014,A1-90-PPC,486,,,,,,,,,124,1131,640,90%,206,,9,211,0.43,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,32.4,,,43.2,,,,,,,,,,,,,,
[68],25,360,Kwatra and Goyal,2014,A2-0-PPC,453,,,,,,,,,1274,,651,0%,206,,6.8,210,0.46,0.36,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,32.72,,,46.6,,,,,,,,,,,,,,
[68],25,361,Kwatra and Goyal,2014,A2-30-PPC,453,,,,,,,,,891,382,651,30%,206,,6.9,210,0.46,0.36,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,29.7,,,44.4,,,,,,,,,,,,,,
[68],25,362,Kwatra and Goyal,2014,A2-60-PPC,453,,,,,,,,,382,891,651,60%,206,,7,210,0.46,0.36,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,28.8,,,44.26,,,,,,,,,,,,,,
[68],25,363,Kwatra and Goyal,2014,A2-90-PPC,453,,,,,,,,,131,1152,651,90%,206,,7.1,210,0.46,0.35,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,27.4,,,41.48,,,,,,,,,,,,,,
[68],25,364,Kwatra and Goyal,2014,A3-0-PPC,426,,,,,,,,,1291,,657,0%,206,,5.5,209,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,28.2,,,42.98,,,,,,,,,,,,,,
[68],25,365,Kwatra and Goyal,2014,A3-30-PPC,426,,,,,,,,,903,388,657,30%,206,,5.6,209,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,27.78,,,40.78,,,,,,,,,,,,,,
[68],25,366,Kwatra and Goyal,2014,A3-60-PPC,426,,,,,,,,,388,903,657,60%,206,,5.7,209,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,27.32,,,38.86,,,,,,,,,,,,,,
[68],25,367,Kwatra and Goyal,2014,A3-90-PPC,426,,,,,,,,,129,1162,657,90%,206,,5.8,209,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,26.93,,,38.65,,,,,,,,,,,,,,
[68],25,368,Kwatra and Goyal,2014,A4-0-PPC,400,,,,,,,,,1303,,663,0%,206,,3.2,208,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,26.36,,,39.8,,,,,,,,,,,,,,
[68],25,369,Kwatra and Goyal,2014,A4-30-PPC,400,,,,,,,,,912,391,663,30%,206,,3.3,208,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,25.45,,,37.4,,,,,,,,,,,,,,
[68],25,370,Kwatra and Goyal,2014,A4-60-PPC,400,,,,,,,,,391,912,663,60%,206,,3.4,208,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,24.98,,,36.8,,,,,,,,,,,,,,
[68],25,371,Kwatra and Goyal,2014,A4-90-PPC,400,,,,,,,,,130,1173,663,90%,206,,3.5,208,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,2.03018737,2.071890726,2.023913043,150,,,24.5,,,34.95,,,,,,,,,,,,,,
[68],25,372,Kwatra and Goyal,2014,A1-0-SSC,486,,,,,,,,,1256,,640,0%,206,,10.7,212,0.44,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,38.2,,,47.98,,,,,,,,,,,,,,
[68],25,373,Kwatra and Goyal,2014,A1-30-SSC,486,,,,,,,,,879,376,640,30%,206,,10.8,212,0.44,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,35.4,,,45.2,,,,,,,,,,,,,,
[68],25,374,Kwatra and Goyal,2014,A1-60-SSC,486,,,,,,,,,376,879,640,60%,206,,10.9,213,0.44,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,34.38,,,44.26,,,,,,,,,,,,,,
[68],25,375,Kwatra and Goyal,2014,A1-90-SSC,486,,,,,,,,,124,1131,640,90%,206,,11,213,0.44,0.39,0.76,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,33.88,,,39.42,,,,,,,,,,,,,,
[68],25,376,Kwatra and Goyal,2014,A2-0-SSC,453,,,,,,,,,1274,,651,0%,206,,8.6,211,0.47,0.36,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,34.2,,,45.42,,,,,,,,,,,,,,
[68],25,377,Kwatra and Goyal,2014,A2-30-SSC,453,,,,,,,,,891,382,651,30%,206,,8.7,211,0.47,0.36,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,32.4,,,43.88,,,,,,,,,,,,,,
[68],25,378,Kwatra and Goyal,2014,A2-60-SSC,453,,,,,,,,,382,891,651,60%,206,,8.8,211,0.47,0.36,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,32.6,,,43.4,,,,,,,,,,,,,,
[68],25,379,Kwatra and Goyal,2014,A2-90-SSC,453,,,,,,,,,131,1152,651,90%,206,,8.9,211,0.47,0.35,0.7,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,31.34,,,41.45,,,,,,,,,,,,,,
[68],25,380,Kwatra and Goyal,2014,A3-0-SSC,426,,,,,,,,,1291,,657,0%,206,,7.2,210,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,30.92,,,41.42,,,,,,,,,,,,,,
[68],25,381,Kwatra and Goyal,2014,A3-30-SSC,426,,,,,,,,,903,388,657,30%,206,,7.3,210,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,28.95,,,40.68,,,,,,,,,,,,,,
[68],25,382,Kwatra and Goyal,2014,A3-60-SSC,426,,,,,,,,,388,903,657,60%,206,,7.4,210,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,28.68,,,38.85,,,,,,,,,,,,,,
[68],25,383,Kwatra and Goyal,2014,A3-90-SSC,426,,,,,,,,,129,1162,657,90%,206,,7.5,211,0.49,0.33,0.65,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,27.18,,,36.78,,,,,,,,,,,,,,
[68],25,384,Kwatra and Goyal,2014,A4-0-SSC,400,,,,,,,,,1303,,663,0%,206,,4.4,209,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,30.86,,,39.64,,,,,,,,,,,,,,
[68],25,385,Kwatra and Goyal,2014,A4-30-SSC,400,,,,,,,,,912,391,663,30%,206,,4.5,209,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,28.95,,,36.28,,,,,,,,,,,,,,
[68],25,386,Kwatra and Goyal,2014,A4-60-SSC,400,,,,,,,,,391,912,663,60%,206,,4.6,209,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,27.48,,,35.8,,,,,,,,,,,,,,
[68],25,387,Kwatra and Goyal,2014,A4-90-SSC,400,,,,,,,,,130,1173,663,90%,206,,4.7,209,0.52,0.31,0.6,2.68,20,,,,6.99,1.6,2.64,10,,,,6.11,,2.34,20,C&D waste,,,7.1,2.4,,,,,,,,2.58,4.75,River sand,,,7.55,,,,,,,,,1.891795482,2.321601104,89.5625,150,,,26.85,,,34.78,,,,,,,,,,,,,,
[69],26,388,Thomas et al.,2014,H-0.65-0%,275,,,,,,,,,978,0,843,0%,179,165,,179,0.65,0.28,0.33,2.59,20,Natural limestone,,,,1.6,2.55,12,Natural limestone,,31,,1.6,2.31,20,C&D waste,,,,5.3,,,,,,,,,,,,,,,,,,,,,,3.971505376,3.229166667,1.165413534,,,,,,,,,,,100,200,,,,,,47.8,,,
