item number,reference number,mix_name_ref,binder(s),cement type,cemen_strength_class,clinker content,cement content,scm1 type,scm1 content (kg/m3),scm2 type,scm2 content (kg/m3),water content (kg/m3),water binder ratio,admixture1_type,admixture1_kgm3,admixture2_type,admixture2_kgm3,fcm. cube 150. wet curing (28 d)
1072,78216,MW 14. 15. 17,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,215,fly_ash_bituminous_coal,143,,0,157,0.65,accelerator,0.7525,,0,51.737
1073,78216,16,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,211,fly_ash_bituminous_coal,141,,0,162,0.68,accelerator,0.7385,,0,47.288
1074,10006,1,CEM I,CEM I,32.5R,1,320,,0,,0,160,0.5,,0,,0,41.3
1075,10006,2,CEM I,CEM I,32.5R,1,320,,0,,0,208,0.65,,0,,0,23.7
1076,10006,3,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,80,,0,144,0.53,,0,,0,44.4
1077,10006,4,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,80,,0,146.4,0.54,,0,,0,42.9
1078,10006,5,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,80,,0,144,0.53,,0,,0,39.6
1079,10006,6,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,80,,0,153.6,0.57,,0,,0,37.7
1080,10006,7,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,80,,0,141.6,0.52,,0,,0,37.3
1081,10006,8,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,80,,0,151.2,0.56,,0,,0,36.8
1082,10006,9,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,80,,0,153.6,0.57,,0,,0,36.5
1083,10006,10,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,80,,0,151.2,0.56,,0,,0,35.9
1084,10006,11,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,240,fly_ash_bituminous_coal,80,,0,156,0.57,,0,,0,33.3
1085,22576,A1,CEM I,CEM I,32.5R,1,362,,0,,0,113,0.31,SP & air_entrainer,8.688,,0,59
1086,22576,B1,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,159,fly_ash_bituminous_coal,218,,0,116,0.64,SP & air_entrainer,5.247,,0,46.25
1087,22576,B9,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,158,fly_ash_bituminous_coal,217,,0,115,0.64,SP & air_entrainer,5.53,,0,44.625
1088,22576,C1,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,157,fly_ash_bituminous_coal,215,,0,114,0.64,SP & air_entrainer,4.71,,0,48.5
1089,22576,A2air,CEM I,CEM I,32.5R,1,366,,0,,0,116,0.32,SP & air_entrainer,10.614,,0,56.925
1090,22576,B5air,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,155,fly_ash_bituminous_coal,214,,0,114,0.65,SP & air_entrainer,5.425,,0,43.815
1091,22576,C5air,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,162,fly_ash_bituminous_coal,222,,0,118,0.64,SP & air_entrainer,5.994,,0,47.955
1092,35785,1,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,126,fly_ash_bituminous_coal,173,,0,114,0.58,SP,2.079,air_entrainer,0.18522,25.375
1093,35785,2,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,156,fly_ash_bituminous_coal,215,,0,115,0.48,SP,2.34,air_entrainer,0.28548,33.958
1094,35785,3,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,180,fly_ash_bituminous_coal,248,,0,116,0.41,SP,3.078,air_entrainer,0.4104,41.458
1095,35785,4,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,124,fly_ash_bituminous_coal,172,,0,115,0.6,SP,1.8352,air_entrainer,0.14508,35.417
1096,35785,5,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,155,fly_ash_bituminous_coal,214,,0,114,0.48,SP,2.666,air_entrainer,0.3007,48.042
1097,35785,6,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,182,fly_ash_bituminous_coal,251,,0,117,0.41,SP,2.912,air_entrainer,0.3549,53.75
1098,35785,7,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,124,fly_ash_bituminous_coal,170,,0,115,0.6,SP,2.7528,air_entrainer,0.29016,24.833
1099,35785,8,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,155,fly_ash_bituminous_coal,213,,0,114,0.47,SP,3.0845,air_entrainer,0.3844,35.375
1100,35785,9,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,181,fly_ash_bituminous_coal,250,,0,116,0.41,SP,3.6743,air_entrainer,0.49051,45.5
1101,35785,10,CEM I,CEM I,32.5R,1,292,,0,,0,114,0.39,SP,3.2412,air_entrainer,0.15476,45.5
1102,35785,11,CEM I,CEM I,32.5R,1,368,,0,,0,114,0.31,SP,3.68,air_entrainer,0.26128,68.417
1103,35785,12,CEM I,CEM I,32.5R,1,428,,0,,0,116,0.27,SP,4.066,air_entrainer,0.2996,76.167
1104,27180,Mix 1  0 ,CEM I with fly_ash_bituminous_coal,CEM I,,1,225,fly_ash_bituminous_coal,75,,0,165,0.65,,0,,0,37.613
1105,27180,Mix 1  10,CEM I with fly_ash_bituminous_coal,CEM I,,1,225,fly_ash_bituminous_coal,75,,0,165,0.65,,0,,0,44.013
1106,27180,Mix 1  20,CEM I with fly_ash_bituminous_coal,CEM I,,1,225,fly_ash_bituminous_coal,75,,0,165,0.65,,0,,0,48.1
1107,27180,Mix 1  30,CEM I with fly_ash_bituminous_coal,CEM I,,1,225,fly_ash_bituminous_coal,75,,0,165,0.65,,0,,0,51.238
1108,27180,Mix 2  0 ,CEM I with fly_ash_bituminous_coal,CEM I,,1,302,fly_ash_bituminous_coal,101,,0,145,0.42,SP,1.51,,0,48.525
1109,27180,Mix 2  10,CEM I with fly_ash_bituminous_coal,CEM I,,1,302,fly_ash_bituminous_coal,101,,0,145,0.42,SP,1.51,,0,49.013
1110,27180,Mix 2  20,CEM I with fly_ash_bituminous_coal,CEM I,,1,302,fly_ash_bituminous_coal,101,,0,145,0.42,SP,1.51,,0,59.375
1111,27180,Mix 2  30,CEM I with fly_ash_bituminous_coal,CEM I,,1,302,fly_ash_bituminous_coal,101,,0,145,0.42,SP,1.51,,0,56.263
1112,27180,Mix 3  0 ,CEM I,CEM I,,1,305,,0,,0,169,0.55,,0,,0,37.125
1113,27180,Mix 3  10,CEM I,CEM I,,1,305,,0,,0,169,0.55,,0,,0,40.413
1114,27180,Mix 3  20,CEM I,CEM I,,1,305,,0,,0,169,0.55,,0,,0,43.95
1115,27180,Mix 3  30,CEM I,CEM I,,1,305,,0,,0,169,0.55,,0,,0,39.925
1116,27180,Mix 4  0 ,CEM I,CEM I,,1,409,,0,,0,138,0.34,SP,2.0859,,0,50.413
1117,27180,Mix 4  10,CEM I,CEM I,,1,409,,0,,0,138,0.34,SP,2.0859,,0,52.913
1118,27180,Mix 4  20,CEM I,CEM I,,1,409,,0,,0,138,0.34,SP,2.0859,,0,58.275
1119,27180,Mix 4  30,CEM I,CEM I,,1,409,,0,,0,138,0.34,SP,2.0859,,0,54.013
1120,27180,Mix 5  0 ,CEM I,CEM I,,1,414,,0,,0,143,0.35,SP,1.4904,,0,62.175
1121,27180,Mix 5  10,CEM I,CEM I,,1,414,,0,,0,143,0.35,SP,1.4904,,0,60.963
1122,27180,Mix 5  20,CEM I,CEM I,,1,414,,0,,0,143,0.35,SP,1.4904,,0,55.6
1123,27180,Mix 5  30,CEM I,CEM I,,1,414,,0,,0,143,0.35,SP,1.4904,,0,59.013
1124,27180,Mix 6  0 ,CEM I,CEM I,,1,307,,0,,0,161,0.52,SP,1.5043,,0,49.763
1125,27180,Mix 6  10,CEM I,CEM I,,1,307,,0,,0,161,0.52,SP,1.5043,,0,47.613
1126,27180,Mix 6  20,CEM I,CEM I,,1,307,,0,,0,161,0.52,SP,1.5043,,0,49.9
1127,27180,Mix 6  30,CEM I,CEM I,,1,307,,0,,0,161,0.52,SP,1.5043,,0,47.825
1128,35789,1,CEM I,CEM I,42.5R,1,310,,0,,0,158,0.51,,0,,0,35.813
1129,35789,2,CEM I,CEM I,42.5R,1,310,,0,,0,155,0.5,,0,,0,38.313
1130,35789,3,CEM I,CEM I,52.5R,1,310,,0,,0,170,0.55,,0,,0,40.938
1131,35789,4,CEM I with cFA,CEM I,42.5R,1,124,cFA,186,,0,176,1.25,,0,,0,24
1132,35789,5,CEM I with cFA,CEM I,42.5R,1,124,cFA,186,,0,167,1.19,,0,,0,26.188
1133,35789,6,CEM I with cFA,CEM I,52.5R,1,124,cFA,186,,0,155,1.1,,0,,0,23.188
1134,35789,7,CEM I with cFA,CEM I,42.5R,1,124,cFA,186,,0,152,1.08,,0,,0,21.938
1135,35789,8,CEM I with cFA,CEM I,42.5R,1,124,cFA,186,,0,173,1.23,,0,,0,23.5
1136,35789,9,CEM I with cFA,CEM I,52.5R,1,124,cFA,186,,0,170,1.21,,0,,0,23.438
1137,35867,Control,CEM I,CEM I,,1,274,,0,,0,168,0.61,,0,,0,33.125
1138,35867,FAC110,CEM I with fly_ash_bituminous_coal,CEM I,,1,247,fly_ash_bituminous_coal,27,,0,167,0.65,,0,,0,30.625
1139,35867,FAC210,CEM I with fly_ash_bituminous_coal,CEM I,,1,247,fly_ash_bituminous_coal,54,,0,169,0.63,,0,,0,35.75
1140,35867,FAC310,CEM I with fly_ash_bituminous_coal,CEM I,,1,247,fly_ash_bituminous_coal,108,,0,178,0.64,,0,,0,32.625
1141,35867,FAC120,CEM I with fly_ash_bituminous_coal,CEM I,,1,219,fly_ash_bituminous_coal,55,,0,165,0.68,,0,,0,22.25
1142,35867,FAC220,CEM I with fly_ash_bituminous_coal,CEM I,,1,219,fly_ash_bituminous_coal,110,,0,184,0.74,,0,,0,29.875
1143,35867,FAC140,CEM I with fly_ash_bituminous_coal,CEM I,,1,164,fly_ash_bituminous_coal,110,,0,175,0.94,,0,,0,15.125
1144,35867,FA1C110,CEM I with cFA,CEM I,,1,247,cFA,27,,0,168,0.65,,0,,0,35.25
1145,35867,FA1C210,CEM I with cFA,CEM I,,1,247,cFA,54,,0,166,0.62,,0,,0,34.375
1146,35867,FA1C310,CEM I with cFA,CEM I,,1,247,cFA,108,,0,181,0.65,,0,,0,39.375
1147,35867,FA1C120,CEM I with cFA,CEM I,,1,219,cFA,55,,0,165,0.68,,0,,0,34.5
1148,35867,FA1C220,CEM I with cFA,CEM I,,1,219,cFA,110,,0,175,0.71,,0,,0,33.5
1149,35867,FA1C140,CEM I with cFA,CEM I,,1,164,cFA,110,,0,170,0.92,,0,,0,24
1150,35867,FA2C110,CEM I with cFA,CEM I,,1,247,cFA,27,,0,165,0.64,,0,,0,30.25
1151,35867,FA2C210,CEM I with cFA,CEM I,,1,247,cFA,54,,0,172,0.64,,0,,0,30.75
1152,35867,FA2C310,CEM I with cFA,CEM I,,1,247,cFA,108,,0,199,0.71,,0,,0,25.125
1153,35867,FA2C120,CEM I with cFA,CEM I,,1,219,cFA,55,,0,165,0.68,,0,,0,26.25
1154,35867,FA2C220,CEM I with cFA,CEM I,,1,219,cFA,110,,0,194,0.78,,0,,0,21.25
1155,35867,FA2C140,CEM I with cFA,CEM I,,1,164,cFA,110,,0,175,0.94,,0,,0,13.875
1156,35867,FA3C110,CEM I with cFA,CEM I,,1,247,cFA,27,,0,165,0.64,,0,,0,26.625
1157,35867,FA3C210,CEM I with cFA,CEM I,,1,247,cFA,54,,0,194,0.72,,0,,0,29.375
1158,35867,FA3C310,CEM I with cFA,CEM I,,1,247,cFA,108,,0,199,0.71,,0,,0,31.875
1159,35867,FA3C120,CEM I with cFA,CEM I,,1,219,cFA,55,,0,173,0.72,,0,,0,29.5
1160,35867,FA3C220,CEM I with cFA,CEM I,,1,219,cFA,110,,0,197,0.79,,0,,0,30.625
1161,35867,FA3C140,CEM I with cFA,CEM I,,1,164,cFA,110,,0,175,0.94,,0,,0,24.875
1162,35875,1,CEM I with cFA,CEM I,32.5R,1,240,cFA,160,,0,110,0.4,SP,4.992,,0,51.625
1163,35875,2,CEM I with cFA,CEM I,32.5R,1,240,cFA,160,,0,130,0.48,SP,2.496,,0,58.75
1164,35875,3,CEM I with cFA,CEM I,32.5R,1,180,cFA,220,,0,130,0.64,SP,2.502,,0,52.375
1165,35875,4,CEM I with cFA,CEM I,32.5R,1,190,cFA,100,,0,175,0.81,SP,0.912,,0,47.375
1166,43430,1 (C1F1),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,152,fly_ash_bituminous_coal,211,,0,119,0.69,SP,3.1616,air_entrainer,0.29944,36
1167,43430,2 (C2F1),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,152,fly_ash_bituminous_coal,211,,0,120,0.7,SP,3.7544,air_entrainer,0.20976,49.125
1168,43430,3 (C1F2) ,CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,153,fly_ash_bituminous_coal,212,,0,120,0.69,SP,3.2436,air_entrainer,0.46971,36.875
1169,43430,4 (C2F2),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,153,fly_ash_bituminous_coal,212,,0,120,0.69,SP,3.9168,air_entrainer,0.39933,40.625
1170,43430,5 (C1F3),CEM I with cFA,CEM I,32.5R,1,152,cFA,211,,0,119,0.69,SP,1.1704,air_entrainer,0.08056,47.625
1171,43430,6 (C2F3),CEM I with cFA,CEM I,32.5R,1,153,cFA,213,,0,120,0.69,SP,1.6677,air_entrainer,0.04437,46.5
1172,43430,7 (C1F4),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,152,fly_ash_bituminous_coal,212,,0,119,0.69,SP,2.9944,air_entrainer,0.26448,42.875
1173,43430,8 (C2F4),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,152,fly_ash_bituminous_coal,211,,0,118,0.69,SP,2.8272,air_entrainer,0.13528,46.75
1174,43430,9 (C1F5),CEM I with cFA,CEM I,32.5R,1,152,cFA,211,,0,119,0.69,SP,1.5808,air_entrainer,0.17024,48.125
1175,43430,10 (C2F5),CEM I with cFA,CEM I,32.5R,1,152,cFA,211,,0,119,0.69,SP,1.748,air_entrainer,0.08512,51.75
1176,43430,11 (C1F6),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,152,fly_ash_bituminous_coal,210,,0,118,0.69,SP,2.9184,air_entrainer,0.47576,34.75
1177,43430,12 (C2F6),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,152,fly_ash_bituminous_coal,210,,0,119,0.69,SP,3.5872,air_entrainer,0.34048,43.75
1178,43430,13 (C1F7),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,152,fly_ash_bituminous_coal,211,,0,119,0.69,SP,2.0064,air_entrainer,0.28576,37.625
1179,43430,14 (C2F7),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,152,fly_ash_bituminous_coal,211,,0,118,0.69,SP,3.0856,air_entrainer,0.20976,46.125
1180,43430,15 (C1F8),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,152,fly_ash_bituminous_coal,210,,0,118,0.69,SP,2.2496,air_entrainer,0.2204,47.625
1181,43430,16 (C2F8),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,151,fly_ash_bituminous_coal,209,,0,117,0.68,SP,2.3405,air_entrainer,0.14949,52.75
1182,50666,H1,CEM I ,CEM I,42.5N,1,439,,0,,0,166.8,0.38,SP,0,,0,59.655
1183,50666,H2,CEM I ,CEM I,42.5N,1,454,,0,,0,145.3,0.32,SP,0,,0,87.3
1184,50666,H3,CEM I ,CEM I,42.5N,1,492,,0,,0,142.7,0.29,SP,0,,0,93.605
1185,50666,H4,CEM I ,CEM I,42.5N,1,510,,0,,0,132.6,0.26,SP,0,,0,106.7
1186,50666,H5,CEM I ,CEM I,42.5N,1,547,,0,,0,125.8,0.23,SP,0,,0,103.305
1187,50666,I1,CEM I with fly_ash_bituminous_coal,CEM I,42.5N,1,395.1,fly_ash_bituminous_coal,43.9,,0,156.8,0.38,SP,0,,0,56.26
1188,50666,I2,CEM I with fly_ash_bituminous_coal,CEM I,42.5N,1,351.2,fly_ash_bituminous_coal,87.8,,0,146.8,0.38,SP,0,,0,53.35
1189,50666,I3,CEM I with fly_ash_bituminous_coal,CEM I,42.5N,1,263.4,fly_ash_bituminous_coal,175.6,,0,126.8,0.43,SP,0,,0,38.994
1190,50666,I4,CEM I with fly_ash_bituminous_coal,CEM I,42.5N,1,408.6,fly_ash_bituminous_coal,45.4,,0,136.6,0.32,SP,0,,0,83.42
1191,50666,I5,CEM I with fly_ash_bituminous_coal,CEM I,42.5N,1,363.2,fly_ash_bituminous_coal,90.8,,0,127.8,0.32,SP,0,,0,77.115
1192,50666,I6,CEM I with fly_ash_bituminous_coal,CEM I,42.5N,1,272.4,fly_ash_bituminous_coal,181.6,,0,110.4,0.36,SP,0,,0,59.655
1193,50666,I7,CEM I with fly_ash_bituminous_coal,CEM I,42.5N,1,459,fly_ash_bituminous_coal,51,,0,124.6,0.26,SP,0,,0,85.845
1194,50666,I8,CEM I with fly_ash_bituminous_coal,CEM I,42.5N,1,408,fly_ash_bituminous_coal,102,,0,116.7,0.26,SP,0,,0,91.18
1195,50666,I9,CEM I with fly_ash_bituminous_coal,CEM I,42.5N,1,306,fly_ash_bituminous_coal,204,,0,100.8,0.29,SP,0,,0,74.205
1196,50666,J1,CEM I with GGBFS,CEM I,42.5N,1,395.1,GGBFS,43.9,,0,166.8,0.38,SP,0,,0,57.036
1197,50666,J2,CEM I with GGBFS,CEM I,42.5N,1,307.3,GGBFS,131.7,,0,166.8,0.38,SP,0,,0,48.209
1198,50666,J3,CEM I with GGBFS,CEM I,42.5N,1,175.6,GGBFS,263.4,,0,166.8,0.38,SP,0,,0,47.724
1199,50666,J4,CEM I with GGBFS,CEM I,42.5N,1,408.6,GGBFS,45.4,,0,145.3,0.32,SP,0,,0,87.3
1200,50666,J5,CEM I with GGBFS,CEM I,42.5N,1,317.8,GGBFS,136.2,,0,145.3,0.32,SP,0,,0,85.845
1201,50666,J6,CEM I with GGBFS,CEM I,42.5N,1,181.6,GGBFS,272.4,,0,145.3,0.32,SP,0,,0,74.205
1202,50666,J7,CEM I with GGBFS,CEM I,42.5N,1,459,GGBFS,51,,0,132.6,0.26,SP,0,,0,101.85
1203,50666,J8,CEM I with GGBFS,CEM I,42.5N,1,357,GGBFS,153,,0,132.6,0.26,SP,0,,0,101.85
1204,50666,J9,CEM I with GGBFS,CEM I,42.5N,1,204,GGBFS,306,,0,132.6,0.26,SP,0,,0,82.45
1205,50666,K1,CEM I with SF,CEM I,42.5N,1,417.05,SF,21.95,,0,166.8,0.38,SP,0,,0,73.72
1206,50666,K2,CEM I with SF,CEM I,42.5N,1,395.1,SF,43.9,,0,166.8,0.38,SP,0,,0,82.45
1207,50666,K3,CEM I with SF,CEM I,42.5N,1,373.15,SF,65.85,,0,166.8,0.38,SP,0,,0,85.36
1208,50666,K4,CEM I with SF,CEM I,42.5N,1,431.3,SF,22.7,,0,145.3,0.32,SP,0,,0,91.665
1209,50666,K5,CEM I with SF,CEM I,42.5N,1,408.6,SF,45.4,,0,145.3,0.32,SP,0,,0,102.82
1210,50666,K6,CEM I with SF,CEM I,42.5N,1,385.9,SF,68.1,,0,145.3,0.32,SP,0,,0,104.275
1211,50666,K7,CEM I with SF,CEM I,42.5N,1,467.4,SF,24.6,,0,142.7,0.29,SP,0,,0,96.515
1212,50666,K8,CEM I with SF,CEM I,42.5N,1,442.8,SF,49.2,,0,142.7,0.29,SP,0,,0,111.065
1213,50666,K9,CEM I with SF,CEM I,42.5N,1,418.2,SF,73.8,,0,142.7,0.29,SP,0,,0,114.945
1214,50666,K10,CEM I with SF,CEM I,42.5N,1,484.5,SF,25.5,,0,132.6,0.26,SP,0,,0,106.7
1215,50666,K11,CEM I with SF,CEM I,42.5N,1,459,SF,51,,0,132.6,0.26,SP,0,,0,110.095
1216,50666,K12,CEM I with SF,CEM I,42.5N,1,433.5,SF,76.5,,0,132.6,0.26,SP,0,,0,111.55
1217,50666,K13,CEM I with SF,CEM I,42.5N,1,519.65,SF,27.35,,0,125.8,0.23,SP,0,,0,108.155
1218,50666,K14,CEM I with SF,CEM I,42.5N,1,492.3,SF,54.7,,0,125.8,0.23,SP,0,,0,112.52
1219,50666,K15,CEM I with SF,CEM I,42.5N,1,464.95,SF,82.05,,0,125.8,0.23,SP,0,,0,121.25
1220,50666,L1,CEM I with GGBFS & SF,CEM I,42.5N,1,166.82,GGBFS,250.23,SF,21.95,166.8,0.38,SP,0,,0,53.35
1221,50666,L2,CEM I with fly_ash_bituminous_coal & SF,CEM I,42.5N,1,250.23,fly_ash_bituminous_coal,166.82,SF,21.95,128.8,0.42,SP,0,,0,47.336
1222,50666,L3,CEM I with GGBFS & SF,CEM I,42.5N,1,193.8,GGBFS,290.7,SF,25.5,132.6,0.26,SP,0,,0,90.695
1223,50666,L4,CEM I with GGBFS & SF,CEM I,42.5N,1,183.6,GGBFS,275.4,SF,51,132.6,0.26,SP,0,,0,91.18
1224,50666,L5,CEM I with fly_ash_bituminous_coal & SF,CEM I,42.5N,1,275.4,fly_ash_bituminous_coal,183.6,SF,51,104,0.29,SP,0,,0,87.3
1225,50666,L6,CEM I with SF,CEM I,42.5N,1,531,SF,59,,0,118,0.2,SP,0,,0,114.46
1226,50666,L7,CEM I with GGBFS & SF,CEM I,42.5N,1,236,GGBFS,295,SF,59,118,0.2,SP,0,,0,110.095
1227,50666,L8,CEM I with GGBFS & SF,CEM I,42.5N,1,354,GGBFS,177,SF,59,118,0.2,SP,0,,0,111.55
1228,50666,L9,CEM I with fly_ash_bituminous_coal & SF,CEM I,42.5N,1,236,fly_ash_bituminous_coal,177,SF,59,73.2,0.22,SP,0,,0,100.395
1229,84774,OPCS,CEM I,CEM I,42.5N,1,300,,0,,0,180,0.6,,0,,0,34.7
1230,84774,10 MFAS,CEM I with cFA,CEM I,42.5N,1,270,cFA,30,,0,180,0.64,,0,,0,38
1231,84774,30 MFAS,CEM I with cFA,CEM I,42.5N,1,210,cFA,90,,0,180,0.76,,0,,0,34.6
1232,84774,10 PFAS,CEM I with cFA,CEM I,42.5N,1,270,cFA,30,,0,180,0.64,,0,,0,41.2
1233,84774,30 PFAS,CEM I with cFA,CEM I,42.5N,1,210,cFA,90,,0,180,0.76,,0,,0,39.1
1234,84774,10 MES,CEM I with natural_pozzolan,CEM I,42.5N,1,270,natural_pozzolan,30,,0,180,0.64,,0,,0,32.9
1235,84774,30 MES,CEM I with natural_pozzolan,CEM I,42.5N,1,210,natural_pozzolan,90,,0,180,0.76,,0,,0,26.2
1236,84774,OPCL,CEM I,CEM I,42.5N,1,300,,0,,0,180,0.6,,0,,0,40.9
1237,84774,10 MFAL,CEM I with cFA,CEM I,42.5N,1,270,cFA,30,,0,180,0.64,,0,,0,42.4
1238,84774,30 MFAL,CEM I with cFA,CEM I,42.5N,1,210,cFA,90,,0,180,0.76,,0,,0,37.5
1239,84774,10 PFAL,CEM I with cFA,CEM I,42.5N,1,270,cFA,30,,0,180,0.64,,0,,0,41.7
1240,84774,30 PFAL,CEM I with cFA,CEM I,42.5N,1,210,cFA,90,,0,180,0.76,,0,,0,40.2
1241,84774,10 MEL,CEM I with natural_pozzolan,CEM I,42.5N,1,270,natural_pozzolan,30,,0,180,0.64,,0,,0,38.7
1242,84774,30 MEL,CEM I with natural_pozzolan,CEM I,42.5N,1,210,natural_pozzolan,90,,0,180,0.76,,0,,0,29.9
1243,56046,C1,CEM I,CEM I,32.5R,1,368,,0,,0,115,0.31,SP,2.9072,air_entrainer,0.35328,60.75
1244,56046,M1,CEM I with cFA,CEM I,32.5R,1,231,cFA,156,,0,119,0.46,SP,2.6565,air_entrainer,0.42273,69.125
1245,56046,M2,CEM I with cFA,CEM I,32.5R,1,195,cFA,199,,0,120,0.54,SP,2.2425,air_entrainer,0.5226,55
1246,56046,M3,CEM I with cFA,CEM I,32.5R,1,156,cFA,241,,0,121,0.69,SP,1.9188,air_entrainer,0.5772,54.625
1247,56046,M4,CEM I with cFA,CEM I,32.5R,1,229,cFA,154,,0,115,0.44,SP,2.3358,air_entrainer,0.4122,55.75
1248,56046,M5,CEM I with cFA,CEM I,32.5R,1,193,cFA,197,,0,114,0.52,SP,2.1616,air_entrainer,0.46127,46
1249,56046,M6,CEM I with cFA,CEM I,32.5R,1,155,cFA,237,,0,116,0.66,SP,1.7515,air_entrainer,0.53785,35.75
1250,56046,M7,CEM I with cFA,CEM I,32.5R,1,229,cFA,154,,0,113,0.44,SP,1.7404,air_entrainer,0.38472,57.875
1251,56046,M8,CEM I with cFA,CEM I,32.5R,1,193,cFA,196,,0,116,0.53,SP,1.5826,air_entrainer,0.40337,52.75
1252,56046,M9,CEM I with cFA,CEM I,32.5R,1,154,cFA,261,,0,117,0.67,SP,1.5862,air_entrainer,0.462,50
1253,59507,C1,CEM I,CEM I,32.5R,1,356,,0,,0,107,0.3,SP,4.4856,air_entrainer,0.45924,42.125
1254,59507,C2,CEM I with cFA,CEM I,32.5R,1,259,cFA,139,,0,133,0.45,SP,2.331,air_entrainer,0.34965,59.25
1255,114442,S0OPC (I),CEM I,CEM I,52.5N,1,350,,0,,0,175,0.5,,0,,0,47.86
1256,114442,S15OPC (I). BFS (I),CEM I with GGBFS,CEM I,52.5N,1,297,GGBFS,53,,0,175,0.5,,0,,0,51.74
1257,114442,S30OPC (I). BFS (I),CEM I with GGBFS,CEM I,52.5N,1,245,GGBFS,105,,0,175,0.5,,0,,0,49.22
1258,114442,S50OPC (I). BFS (I),CEM I with GGBFS,CEM I,52.5N,1,174,GGBFS,174,,0,174,0.5,,0,,0,41.26
1259,114442,S70OPC (I). BFS (I),CEM I with GGBFS,CEM I,52.5N,1,105,GGBFS,244,,0,174,0.5,,0,,0,37.14
1260,114442,S85OPC (I). BFS (I),CEM I with GGBFS,CEM I,52.5N,1,52,GGBFS,295,,0,174,0.5,,0,,0,26.7
1261,114442,S0OPC (II),CEM I,CEM I,52.5N,1,350,,0,,0,174,0.5,,0,,0,50.5
1262,114442,S50OPC (II). BFS (II),CEM I with GGBFS,CEM I,52.5N,1,174,GGBFS,174,,0,174,0.5,,0,,0,43.67
1263,114442,S70OPC (II). BFS (II),CEM I with GGBFS,CEM I,52.5N,1,105,GGBFS,244,,0,174,0.5,,0,,0,38.03
1264,114442,S85OPC (II). BFS (II),CEM I with GGBFS,CEM I,52.5N,1,52,GGBFS,295,,0,174,0.5,,0,,0,31.77
1265,114449,C(I)100FA0W40,CEM I,CEM I,52.5N,1,400,,0,,0,160,0.4,,0,,0,38.55
1266,114449,C(I)50FA(4)50W40,CEM I with fly_ash_bituminous_coal,CEM I,52.5N,1,200,fly_ash_bituminous_coal,200,,0,160,0.71,,0,,0,38.55
1267,114449,C(I)33FA(4)67W40,CEM I with fly_ash_bituminous_coal,CEM I,52.5N,1,132,fly_ash_bituminous_coal,268,,0,160,1.07,,0,,0,23.28
1268,F1007 (112994),B1,CEM I,CEM I,42.5R,1,280,,0,,0,168,0.6,,0,,0,50.635
1269,F1007 (112994),B2,CEM II/BV,CEM II/BV,42.5R,0.78,280,,0,,0,168,0.6,,0,,0,40.755
1270,F1007 (112994),B3,CEM III/B,CEM III/B,32.5N,0.32,280,,0,,0,168,0.6,,0,,0,30.875
1271,114557,Regel prüfung,CEM II/AS,CEM II/AS ,42.5N,0.84,300,,0,,0,174,0.58,,0,,0,38
