item number,reference number,mix_name_ref,binder(s),cement type,cemen_strength_class,clinker content,cement content,scm1 type,scm1 content (kg/m3),scm2 type,scm2 content (kg/m3),water content (kg/m3),water binder ratio,admixture1_type,admixture1_kgm3,admixture2_type,admixture2_kgm3,fcm. cube 150. wet curing (28 d)
822,5134,1C66,CEM III/B,CEM III/B,22.5N,0.34,314,,0,,0,157,0.5,,0,,0,17.703
823,5134,RM00,CEM I,CEM I,32.5R,1,314,,0,,0,157,0.5,,0,,0,34.92
824,5134,1M34,CEM II/BS,CEM II/BS,32.5N,0.66,314,,0,,0,157,0.5,,0,,0,28.615
825,5134,1M50,CEM III/A,CEM III/A,32.5N,0.5,314,,0,,0,157,0.5,,0,,0,27.645
826,5134,1M66,CEM III/B,CEM III/B,22.5N,0.34,314,,0,,0,157,0.5,,0,,0,23.765
827,5134,RF00,CEM I,CEM I,42.5R,1,314,,0,,0,157,0.5,,0,,0,39.043
828,5134,1F34,CEM II/BS,CEM II/BS,32.5R,0.66,314,,0,,0,157,0.5,,0,,0,35.163
829,5134,1F50,CEM III/A,CEM III/A,32.5N,0.5,314,,0,,0,157,0.5,,0,,0,34.678
830,5134,1F66,CEM III/B,CEM III/B,22.5N,0.34,314,,0,,0,157,0.5,,0,,0,28.736
831,5161,C055,CEM I,CEM I,42.5R,1,305,,0,,0,169,0.55,air_entrainer,0.366,,0,53
832,5161,C045,CEM I,CEM I,42.5R,1,375,,0,,0,169,0.45,air_entrainer,0.45,,0,61.875
833,5161,C035,CEM I,CEM I,42.5R,1,407,,0,,0,143,0.35,air_entrainer,0.4884,SP,2.849,74.125
834,5161,CS055,CEM I with GGBFS,CEM I,42.5R,1,153,GGBFS,153,,0,153,0.5,air_entrainer,0.459,,0,40.375
835,5161,CS045,CEM I with GGBFS,CEM I,42.5R,1,188,GGBFS,188,,0,151,0.4,air_entrainer,0.564,,0,50.375
836,5161,CS035,CEM I with GGBFS,CEM I,42.5R,1,203,GGBFS,203,,0,130,0.32,air_entrainer,0.7308,SP,4.06,70.25
837,5133,1,CEM I,CEM I,32.5R,1,500,,0,,0,150,0.3,air_entrainer,0.4,SP,14.25,72.75
838,5133,2 (OR),CEM I with GGBFS,CEM I,32.5R,1,450,GGBFS,50,,0,150,0.3,air_entrainer,0.4005,SP,12.735,71.416
839,5133,3 (OR),CEM I with GGBFS,CEM I,32.5R,1,300,GGBFS,200,,0,150,0.3,air_entrainer,0.426,SP,11.28,69.598
840,5133,4 (OR),CEM I with GGBFS,CEM I,32.5R,1,150,GGBFS,350,,0,150,0.3,air_entrainer,0.4245,SP,9.75,45.226
841,5133,5 (VF),CEM I with GGBFS,CEM I,32.5R,1,450,GGBFS,50,,0,150,0.3,air_entrainer,0.423,SP,12.735,77.721
842,5133,6 (VF),CEM I with GGBFS,CEM I,32.5R,1,300,GGBFS,200,,0,150,0.3,air_entrainer,0.426,SP,11.25,78.813
843,5133,7 (VF),CEM I with GGBFS,CEM I,32.5R,1,150,GGBFS,350,,0,150,0.3,air_entrainer,0.6495,SP,11.745,76.994
844,5133,10,CEM I,CEM I,32.5R,1,400,,0,,0,130,0.325,air_entrainer,0.34,SP,12,80.268
845,5133,11 (OR),CEM I with GGBFS,CEM I,32.5R,1,240,GGBFS,160,,0,130,0.325,air_entrainer,0.3408,SP,9.408,66.324
846,5133,12 (VF),CEM I with GGBFS,CEM I,32.5R,1,240,GGBFS,160,,0,130,0.325,air_entrainer,0.36,SP,9.792,79.783
847,44359,RA1 (1),CEM I,CEM I,32.5R,1,372,,0,,0,186,0.5,,0,,0,47.651
848,44359,RA2 (1),CEM I with GGBFS,CEM I,32.5R,1,280,GGBFS,92,,0,186,0.5,,0,,0,49.834
849,44359,RA3 (1),CEM I with GGBFS,CEM I,32.5R,1,186,GGBFS,186,,0,186,0.5,,0,,0,42.801
850,44359,RA4 (1),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,280,fly_ash_bituminous_coal,92,,0,186,0.59,,0,,0,38.194
851,44359,RA5 (1),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,156,fly_ash_bituminous_coal,216,,0,130,0.74,air_entrainer,0.2184,SP,3.6036,38.921
852,44359,RA6 (1),CEM I with SF,CEM I,32.5R,1,335,SF,37.2,,0,186,0.5,,0,,0,58.685
853,44359,RA1 (3),CEM I,CEM I,32.5R,1,372,,0,,0,186,0.5,,0,,0,45.226
