Mix Number,Year of Publication,Source,Eff. W/C ratio,RCA Content,NCA Content,NFA Content,Cement Content kg/m^3,RCA Bulk Density kg/m^3,NCA Bulk Density kg/m^3,RCA Agg. Size,NCA Size (mm),RCA Water Absorption [%],NCA Water Absorption [%],Slump mm,Specimen Type [in.],Compressive Strength
371,2012,Abd Elhakam et al.,0.45,0,373.33,666.67,400,,,,20,,,,6x6x6 Cube,39.5
372,2012,Abd Elhakam et al.,0.45,93.33,280,666.67,400,,,19,20,,,,6x6x6 Cube,38.3
373,2012,Abd Elhakam et al.,0.45,166.67,166.67,666.67,400,,,19,20,,,,6x6x6 Cube,37
374,2012,Abd Elhakam et al.,0.45,250,83.33,666.67,400,,,19,19,,,,6x6x6 Cube,35
375,2012,Abd Elhakam et al.,0.45,333.33,0,666.67,400,,,19,,,,,6x6x6 Cube,33.3
376,2012,Hoffmann et al.,0.45,292.5,877.5,750,300,2650,,32,32,1.6,0.2,,6x12 Cylinder,53.4
377,2012,Pereira et al.,0.45,0,420,700,350,,2720,,20,,0.6,125,6x6x6 Cube,53.3
378,2013,Barbudo et al.,0.45,0,307.22,777.78,350,,2581,,22,,1.2,111,6x12 Cylinder,59.7
379,2013,Barbudo et al.,0.45,61.44,245.78,777.78,350,2451,2581,20,22,7.3,1.2,109,6x12 Cylinder,64.7
380,2013,Barbudo et al.,0.45,153.61,153.61,777.78,350,2451,2581,20,22,7.3,1.2,108,6x12 Cylinder,55
381,2013,Barbudo et al.,0.45,307.22,0,777.78,350,2451,,20,,7.3,,107,6x12 Cylinder,53.9
382,2013,Thomas et al.,0.45,38,152,760,380,2320,2540,20,20,5.3,1.8,,6x12 Cylinder,50.5
384,2014,Arezoumandi,0.45,120.75,281.75,700,315,2350,2720,25,25,4.56,0.98,,,44.5
387,2014,Beltran et al.1,0.45,0,0,750,300,2380,2680,16,20,6.94,,,6x12 Cylinder,40.9
390,2014,Kang et al.,0.45,0,255.5,730,365,,2570,,25,,1.1,120,4x8 Cylinder,38.6
391,2014,Kang et al.,0.45,38.33,217.18,730,365,2200,2570,25,25,5.4,1.1,110,4x8 Cylinder,32.7
392,2014,Kang et al.,0.45,21.9,51.1,730,365,2200,2570,25,25,5.4,1.1,100,4x8 Cylinder,31.7
393,2014,Kang et al.,0.45,127.75,127.75,730,365,2200,2570,25,20,5.4,,85,4x8 Cylinder,29
394,2014,Pedro et al.,0.45,140,0,875,350,2496,,22,,4.2,,240,4x4x4 Cube,68.5
396,2015,Haitao and Shizhu,0.45,0,692.8,433,433,,2780,,32,,0.72,80,6x6x6 Cube,49.6
397,2015,Haitao and Shizhu,0.45,207.84,484.96,433,433,2492,2780,32,32,3.87,0.72,75,6x6x6 Cube,49.3
398,2015,Haitao and Shizhu,0.45,346.4,346.4,433,433,2492,2780,32,32,3.87,0.72,70,6x6x6 Cube,50.2
399,2015,Haitao and Shizhu,0.45,554.24,138.56,433,433,2492,2780,32,32,3.87,0.72,50,6x6x6 Cube,46.7
400,2015,Haitao and Shizhu,0.45,692.8,0,433,433,2492,,32,,3.87,,35,6x6x6 Cube,46.3
401,2015,Vivian et al.,0.45,0,352.73,727.27,400,,2720,,20,,0.57,75,4x8 Cylinder,58.4
402,2015,Vivian et al.,0.45,0,909.5,535,535,,2720,,20,,0.57,75,4x8 Cylinder,80.4
403,2015,Vivian et al.,0.45,0,224,640,320,,2720,,20,,0.57,75,4x8 Cylinder,42.93
404,2015,Vivian et al.,0.45,105.82,246.91,727.27,400,2640,2720,20,20,2.68,0.57,75,4x8 Cylinder,52.4
405,2015,Vivian et al.,0.45,272.85,636.65,535,535,2640,2720,20,20,2.68,0.57,65,4x8 Cylinder,74.01
406,2015,Vivian et al.,0.45,67.2,156.8,640,320,2640,2720,20,20,2.68,0.57,65,4x8 Cylinder,34.92
