Mix Number,Year of Publication,Source,Eff. W/C ratio,RCA Content,NCA Content,NFA Content,Cement Content kg/m^3,RCA Bulk Density kg/m^3,NCA Bulk Density kg/m^3,RCA Agg. Size,NCA Size (mm),RCA Water Absorption [%],NCA Water Absorption [%],Slump mm,Specimen Type [in.],Compressive Strength
89,2018,Chaocan Zheng et al.,0.35,739.2,0,528,528,2214,,7.36,,2.7,,,4x4x4 Cube,46.2
90,2018,Chaocan Zheng et al.,0.35,739.2,0,528,528,2214,,7.05,,14.9,,,4x4x4 Cube,44.54
91,2000,Limbachia et al.,0.36,0,621,575,460,2600,,,20,,2.5,,4x4x4 Cube,60.3
92,2000,Limbachia et al.,0.36,186.3,434.7,575,460,2410,,20,20,4.9,2.5,,4x4x4 Cube,60.8
93,2000,Limbachia et al.,0.36,310.5,310.5,575,460,2410,,20,20,4.9,2.5,,4x4x4 Cube,61.2
94,2000,Limbachia et al.,0.36,621,0,575,460,2410,,20,,4.9,,,4x4x4 Cube,60.2
95,2002,Ajdukiewicz and Kliszcczewicz,0.36,0,700,500,500,,,,16,,,,6x6x6 Cube,48.4
96,2002,Ajdukiewicz and Kliszcczewicz,0.36,0,700,500,500,,,,16,,,,6x6x6 Cube,48.9
97,2002,Ajdukiewicz and Kliszcczewicz,0.36,0,700,500,500,,,,16,,,,6x6x6 Cube,48.9
98,2002,Ajdukiewicz and Kliszcczewicz,0.36,0,700,500,500,,,,16,,,,6x6x6 Cube,48.9
99,2002,Ajdukiewicz and Kliszcczewicz,0.36,0,700,500,500,,,,16,,,,6x6x6 Cube,48.9
100,2002,Ajdukiewicz and Kliszcczewicz,0.36,0,850,500,500,,,,16,,,,6x6x6 Cube,52.3
101,2002,Ajdukiewicz and Kliszcczewicz,0.36,650,0,500,500,,,16,,,,,6x6x6 Cube,44.5
102,2002,Ajdukiewicz and Kliszcczewicz,0.36,600,0,500,500,,,16,,,,,6x6x6 Cube,38.7
103,2002,Ajdukiewicz and Kliszcczewicz,0.36,650,0,500,500,,,16,,,,,6x6x6 Cube,46.1
104,2002,Ajdukiewicz and Kliszcczewicz,0.36,600,0,500,500,,,16,,,,,6x6x6 Cube,42.4
105,2002,Ajdukiewicz and Kliszcczewicz,0.36,650,0,500,500,,,16,,,,,6x6x6 Cube,52.5
106,2002,Ajdukiewicz and Kliszcczewicz,0.36,600,0,500,500,,,16,,,,,6x6x6 Cube,50.7
107,2002,Ajdukiewicz and Kliszcczewicz,0.36,650,0,500,500,,,16,,,,,6x6x6 Cube,45.2
108,2002,Ajdukiewicz and Kliszcczewicz,0.36,600,0,500,500,,,16,,,,,6x6x6 Cube,42
109,2002,Ajdukiewicz and Kliszcczewicz,0.36,650,0,500,500,,,16,,,,,6x6x6 Cube,49.6
110,2002,Ajdukiewicz and Kliszcczewicz,0.36,600,0,500,500,,,16,,,,,6x6x6 Cube,45.1
111,2002,Ajdukiewicz and Kliszcczewicz,0.36,700,0,500,500,,,16,,,,,6x6x6 Cube,54.4
112,2002,Ajdukiewicz and Kliszcczewicz,0.36,650,0,500,500,,,16,,,,,6x6x6 Cube,48.2
113,2007,Ajdukiewicz and Kliszcczewicz,0.36,0,700,500,500,,2780,,20,,,,6x12 Cylinder,57.9
114,2007,Ajdukiewicz and Kliszcczewicz,0.36,0,700,500,500,,2780,,25,,,,6x12 Cylinder,58.3
115,2007,Ajdukiewicz and Kliszcczewicz,0.36,0,850,500,500,,2565,,16,,,,6x12 Cylinder,61.8
116,2007,Ajdukiewicz and Kliszcczewicz,0.36,600,0,500,500,2270,,16,,,,,6x12 Cylinder,56.4
117,2007,Ajdukiewicz and Kliszcczewicz,0.36,650,0,500,500,2270,,16,,,,,6x12 Cylinder,60.2
118,2007,Ajdukiewicz and Kliszcczewicz,0.36,700,0,500,500,2565,,16,,,,,6x12 Cylinder,57.5
120,2008,Casuccio et al.,0.36,42.3,0,846,423,2500,,30,,3.9,,,4x8 Cylinder,35.7
122,2009,Domingo-Cabo et al.,0.36,95,95,760,380,2338,2647,20,20,5.2,1,,6x12 Cylinder,47.3
132,2002,Gomez-Sobreron,0.38,120,0,800,400,2280,,20,,5.8,,,6x12 Cylinder,34.5
137,2011,Butler et al.,0.38,172.22,172.22,632,474,2300,2700,19,,,,35,,47.9
138,2011,Butler et al.,0.38,158,158,632,474,2300,2700,19,,,,75,,49.4
139,2013,Sheen et al.,0.38,0,520,520,520,,2630,,38,,1.2,80,4x8 Cylinder,54.1
140,2013,Sheen et al.,0.38,520,0,520,520,2260,,25,,7.5,,70,4x8 Cylinder,38.3
141,2013,Sheen et al.,0.38,640,0,400,520,2260,,25,,7.5,,45,4x8 Cylinder,32.9
142,2013,Sheen et al.,0.38,640,0,400,520,2260,,25,,7.5,,40,4x8 Cylinder,33.2
143,2014,Butler et al.,0.38,294,0,625,500,2430,,19,,6.15,,100,,49.4
144,2013,Deng et al.,0.38,0,515.16,607.5,486,,,,,,,,4x4x4 cube,39.2
148,2009,Domingo-Cabo et al.,0.39,38,152,760,380,2338,2647,20,20,5.2,1,,6x12 Cylinder,47.4
149,2013,Butler et al.,0.39,257.19,0,651.11,293,2280,,10,,6.2,,85,4x8 Cylinder,38.1
150,2007,Rahal,0.4,0,396.31,707.69,460,,2860,,19,,0.7,,4x4x4 Cube,33.7
151,2007,Rahal,0.4,396.31,0,707.69,460,2390,,19,,3.47,,,4x4x4 Cube,29.5
152,2008,Kou et al.,0.4,0,432.73,727.27,400,,2620,,20,,1.1,,4x8 Cylinder,72.3
153,2008,Kou et al.,0.4,78.55,314.18,727.27,400,2570,,20,20,3.5,1.1,,4x8 Cylinder,69.6
154,2008,Kou et al.,0.4,196.36,196.36,727.27,400,2570,,20,20,3.5,1.1,,4x8 Cylinder,65.3
155,2008,Kou et al.,0.4,392.73,0,727.27,400,2570,,20,,3.5,,,4x8 Cylinder,58.5
156,2010,Corinaldesi,0.4,192.5,192.5,700,350,2420,2570,5,30,6.8,3,,4x4x4 Cube,43.3
157,2010,Corinaldesi,0.4,192.5,192.5,700,350,2400,2570,22,30,6.8,3,,4x4x4 Cube,46.1
158,2013,Barbudo et al.,0.4,0,342.22,777.78,350,,2581,,22,,1.2,115,6x12 Cylinder,78.7
159,2013,Barbudo et al.,0.4,68.44,273.78,777.78,350,2451,2581,20,22,7.3,1.2,141,6x12 Cylinder,69.9
160,2013,Barbudo et al.,0.4,171.11,171.11,777.78,350,2451,2581,20,22,7.3,1.2,127,6x12 Cylinder,63.8
161,2013,Barbudo et al.,0.4,307.22,0,777.78,350,2451,,20,,7.3,,135,6x12 Cylinder,62.8
163,2014,Pedro et al.,0.4,0,175,875,350,,2665,,20,,1,160,4x4x4 Cube,72.3
165,2015,Haitao and Shizhu,0.4,0,634.4,488,488,,2780,,32,,0.72,80,6x6x6 Cube,57.5
166,2015,Haitao and Shizhu,0.4,190.32,444.08,488,488,2492,2780,32,32,3.87,0.72,75,6x6x6 Cube,57.1
167,2015,Haitao and Shizhu,0.4,317.2,317.2,488,488,2492,2780,32,32,3.87,0.72,70,6x6x6 Cube,57.7
168,2015,Haitao and Shizhu,0.4,507.52,126.88,488,488,2492,2780,32,32,3.87,0.72,50,6x6x6 Cube,54.1
169,2015,Haitao and Shizhu,0.4,634.4,0,488,488,2492,,32,,3.87,,35,6x6x6 Cube,53.8
170,2015,Vivian et al.,0.4,0,352.73,727.27,400,,2720,,20,,0.57,80,4x8 Cylinder,53.82
171,2015,Vivian et al.,0.4,105.82,246.91,727.27,400,2640,2720,20,20,2.68,0.57,65,4x8 Cylinder,53.73
172,2015,Vivian et al.,0.4,352.73,0,727.27,400,2640,,20,,2.68,,70,4x8 Cylinder,41.9
173,2018,Thomas et al. 2,0.4,0,630,750,300,,2720,,20,,0.7,,6x6x6 Cube,34.8
174,2018,Thomas et al. 2,0.4,0,595,700,350,,2720,,20,,0.7,,6x6x6 Cube,41.2
175,2018,Thomas et al. 2,0.4,0,527.14,642.86,450,,2720,,20,,0.7,,6x6x6 Cube,52.8
176,2018,Thomas et al. 2,0.4,210,630,700,350,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,33.2
177,2018,Thomas et al. 2,0.4,140,420,700,350,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,39.4
178,2018,Thomas et al. 2,0.4,120.54,361.61,642.86,450,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,50.4
179,2018,Thomas et al. 2,0.4,255,255,750,300,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,32.1
180,2018,Thomas et al. 2,0.4,157.5,157.5,875,350,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,37.2
181,2018,Thomas et al. 2,0.4,218.57,218.57,642.86,450,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,47.2
182,2018,Thomas et al. 2,0.4,390,0,750,300,2340,,20,,6.4,,,6x6x6 Cube,29.3
183,2018,Thomas et al. 2,0.4,385,0,700,350,2340,,20,,6.4,,,6x6x6 Cube,35.3
184,2018,Thomas et al. 2,0.4,347.14,0,642.86,450,2340,,20,,6.4,,,6x6x6 Cube,42.8
186,2007,Evangelista and De Brito,0.41,0,544.67,633.33,380,,2564,,25,,0.8,,6x6x6 Cube,59.4
189,2009,Domingo-Cabo et al.,0.41,0,228,760,380,,2647,,20,,1,,6x12 Cylinder,42.3
195,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2330,2600,32,32,4.4,0.7,70,4x4x4 Cube,50.8
196,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2370,2600,32,32,4,0.7,50,4x4x4 Cube,54
197,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2390,2600,32,20,3.6,0.7,50,4x4x4 Cube,55.2
198,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2320,2600,32,20,4.6,0.7,50,4x4x4 Cube,50.5
199,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2390,2600,32,20,3.7,0.7,80,4x4x4 Cube,54.4
200,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2390,2600,32,20,3.5,0.7,60,4x4x4 Cube,45
201,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2380,2600,32,20,3.8,0.7,50,4x4x4 Cube,55.3
202,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2380,2600,32,20,3.8,0.7,70,4x4x4 Cube,49.1
203,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2400,2600,32,20,3.5,0.7,70,4x4x4 Cube,43.2
204,2013,Ismail and Ramili,0.41,36.25,205.4,671.25,537,2370,2600,32,20,4,0.7,40,4x4x4 Cube,52.9
205,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2330,2600,32,32,4.4,0.7,60,4x4x4 Cube,44.9
206,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2370,2600,32,32,4,0.7,70,4x4x4 Cube,56
207,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2390,2600,32,20,3.6,0.7,40,4x4x4 Cube,53.5
208,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2320,2600,32,20,4.6,0.7,40,4x4x4 Cube,48.9
209,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2390,2600,32,20,3.7,0.7,65,4x4x4 Cube,50.2
210,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2390,2600,32,20,3.5,0.7,50,4x4x4 Cube,46.9
211,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2380,2600,32,20,3.8,0.7,40,4x4x4 Cube,55.9
212,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2380,2600,32,20,3.8,0.7,60,4x4x4 Cube,49.9
213,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2400,2600,32,20,3.5,0.7,60,4x4x4 Cube,53.7
214,2013,Ismail and Ramili,0.41,72.5,169.16,671.25,537,2370,2600,32,20,4,0.7,50,4x4x4 Cube,49.9
215,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2330,2600,32,32,4.4,0.7,50,4x4x4 Cube,44.6
216,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2370,2600,32,32,4,0.7,40,4x4x4 Cube,54.4
217,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2390,2600,32,20,3.6,0.7,30,4x4x4 Cube,56.9
218,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2320,2600,32,20,4.6,0.7,30,4x4x4 Cube,45.8
219,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2390,2600,32,20,3.7,0.7,40,4x4x4 Cube,49.5
220,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2390,2600,32,20,3.5,0.7,30,4x4x4 Cube,51.4
221,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2380,2600,32,20,3.8,0.7,40,4x4x4 Cube,52.6
222,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2400,2600,32,20,3.8,0.7,40,4x4x4 Cube,50.3
223,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2370,2600,32,20,3.5,0.7,70,4x4x4 Cube,50
224,2013,Ismail and Ramili,0.41,108.74,132.91,671.25,537,2370,2600,32,20,4,0.7,70,4x4x4 Cube,53.7
225,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2330,2600,32,32,4.4,0.7,40,4x4x4 Cube,42.4
226,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2370,2600,32,32,4,0.7,40,4x4x4 Cube,40.6
227,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2390,2600,32,20,3.6,0.7,35,4x4x4 Cube,54.7
228,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2320,2600,32,20,4.6,0.7,30,4x4x4 Cube,40
229,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2390,2600,32,20,3.7,0.7,30,4x4x4 Cube,40.4
230,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2390,2600,32,20,3.5,0.7,40,4x4x4 Cube,53.2
231,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2380,2600,32,20,3.8,0.7,40,4x4x4 Cube,48
232,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2400,2600,32,20,3.8,0.7,40,4x4x4 Cube,47.5
233,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2370,2600,32,20,3.5,0.7,35,4x4x4 Cube,43.3
234,2013,Ismail and Ramili,0.41,144.99,96.66,671.25,537,2370,2600,32,20,4,0.7,30,4x4x4 Cube,46
235,2013,Ulloa et al.,0.41,43.91,175.64,844.44,380,2330,2590,20,19,3.9,1.2,,6x12 Cylinder,46.1
236,2014,Butler et al.,0.41,354.97,0,617.33,463,2480,,19,,4.66,,100,,60.1
237,2014,Pedro et al.,0.41,0,140,875,350,,2537,,20,,1.3,160,4x4x4 Cube,71.1
238,2002,Gomez-Sobreron,0.42,96,64,800,400,2280,,20,20,5.8,0.9,,6x12 Cylinder,35.8
240,2007,Evangelista and De Brito,0.42,58.27,524.4,633.33,380,2165,2564,20,25,6.8,0.8,,6x6x6 Cube,62.2
243,2010,Bai and Sun,0.42,692.33,0,516.67,465,,,19,,,,40,,43.5
244,2010,Zega and Di Maio,0.42,0,118.05,880.95,370,,2720,,20,,0.2,,4x4x4 Cube,40
245,2010,Zega and Di Maio,0.42,29.51,88.54,880.95,370,2440,2720,19,20,5.8,0.2,,4x4x4 Cube,33
246,2010,Zega and Di Maio,0.42,40.52,40.52,880.95,370,2440,2720,19,20,5.8,0.2,,4x4x4 Cube,34.5
247,2010,Zega and Di Maio,0.42,33.04,11.01,880.95,370,2440,2720,19,20,5.8,0.2,,4x4x4 Cube,34
248,2012,Limbachia et al.,0.42,762.07,0,473.33,426,2340,,20,,5.3,,20,6x12 Cylinder,34
249,2012,Pereira et al.,0.42,178.5,416.5,700,350,2010,2720,12,20,10.9,0.6,129,6x6x6 Cube,51
250,2013,Thomas et al.,0.42,0,269.5,770,385,,2540,,20,,1.8,,6x12 Cylinder,58
251,2013,Thomas et al.,0.42,83.3,333.2,700,385,2320,2540,20,20,5.3,1.8,,6x12 Cylinder,53.5
252,2013,Thomas et al.,0.42,114,0,760,380,2320,,20,,5.3,,,6x12 Cylinder,56
253,2013,Ulloa et al.,0.42,43.91,175.64,844.44,380,2330,2590,20,20,4.5,1.2,,6x12 Cylinder,48.1
254,2013,Ulloa et al.,0.42,43.91,175.64,844.44,380,2330,2590,20,20,4.7,1.2,,6x12 Cylinder,48.5
255,2013,Ulloa et al.,0.42,71.78,71.78,844.44,380,2330,2590,20,19,6.1,1.2,,6x12 Cylinder,41.6
256,2013,Ulloa et al.,0.42,71.78,71.78,844.44,380,2330,2590,20,20,3.9,1.2,,6x12 Cylinder,45.1
257,2013,Ulloa et al.,0.42,71.78,71.78,844.44,380,2330,2590,20,20,4.7,1.2,,6x12 Cylinder,45.4
258,2014,Pedro et al.,0.42,140,0,875,350,2464,,22,,3.9,,240,4x4x4 Cube,66.5
260,2014,Thomas et al.1,0.42,94.97,379.87,641.67,385,2320,2730,19,19,5.3,0.5,,4x8 Cylinder,67.4
261,2014,Thomas et al.1,0.42,114,0,760,380,2320,,19,,5.3,,,4x8 Cylinder,65.1
262,2018,Thomas et al. 3,0.42,0,269.5,770,385,,2540,,20,,1.8,18,,72.9
263,2018,Thomas et al. 3,0.42,83.3,333.2,700,385,2320,2540,20,20,5.3,1.8,17,,67.4
264,2018,Thomas et al. 3,0.42,183.09,0,690.91,380,2320,,20,,5.3,,17,,65.1
265,2005,Xiao et al.,0.43,0,731.56,558.44,430,,2820,,32,,0.4,42,4x4x12 Beam,26.9
266,2005,Xiao et al.,0.43,214.84,501.3,530.86,430,2520,2820,32,32,9.25,0.4,33,4x4x12 Beam,25.4
267,2005,Xiao et al.,0.43,339.8,339.8,524.39,430,2520,2820,32,32,9.25,0.4,41,4x4x12 Beam,23.6
268,2005,Xiao et al.,0.43,484.47,207.63,511.9,430,2520,2820,32,32,9.25,0.4,40,4x4x12 Beam,30.3
269,2005,Xiao et al.,0.43,666.75,0,494.25,430,2520,,32,,9.25,,44,4x4x12 Beam,26.7
275,2007,Rahal,0.43,0,392,700,420,,2860,,25,,0.7,,4x4x4 Cube,31.1
276,2007,Rahal,0.43,392,0,700,420,2390,,19,,3.47,,,4x4x4 Cube,28.7
278,2011,Rao et al.,0.43,0,670.24,572.86,401,,2620,,20,,1.1,57.5,6x12 Cylinder,51.8
279,2011,Rao et al.,0.43,157.54,472.61,572.86,401,2661,2620,20,20,1.9,1.1,55,6x12 Cylinder,47
280,2011,Rao et al.,0.43,295.02,295.02,572.86,401,2602,2620,20,20,2.6,1.1,50,6x12 Cylinder,46
281,2011,Rao et al.,0.43,549.94,0,572.86,401,2510,,20,,3.9,,50,6x12 Cylinder,42.5
283,2012,Hoffmann et al.,0.43,1032.78,0,722.22,325,2263,,32,,6,,,6x12 Cylinder,33.2
285,2013,Kim et al.,0.43,0,332.1,738,369,,2620,,25,,0.84,77,4x8 Cylinder,31
286,2013,Kim et al.,0.43,88.56,206.64,738,369,2140,2620,25,25,6.28,0.84,88,4x8 Cylinder,27
287,2013,Kim et al.,0.43,166.5,0,666,333,2140,,25,,6.28,,100,4x8 Cylinder,27
288,2013,Kim et al.,0.43,184.5,0,738,369,2140,,25,,6.28,,,4x8 Cylinder,18
289,2013,Ulloa et al.,0.43,71.78,71.78,844.44,380,2330,2590,20,20,4.5,1.2,,6x12 Cylinder,41
291,2013,Xiao et al.,0.43,544.67,0,573.33,430,2520,,32,,9.3,,,4x4x4 Cube,46
292,2014,Pedro et al.,0.43,105,0,875,350,2363,,22,,3.6,,240,4x4x4 Cube,70.2
293,2018,Nepomuceno et al.,0.43,0,728,455,455,,,,20,,1.1,60,6x12 Cylinder,52.9
294,2018,Nepomuceno et al.,0.43,72.8,655.2,455,455,,,20,20,11.5,1.1,60,6x12 Cylinder,50.3
295,2018,Nepomuceno et al.,0.43,204.75,477.75,455,455,,,20,20,11.5,1.1,60,6x12 Cylinder,48.5
296,2018,Nepomuceno et al.,0.43,318.5,318.5,455,455,,,20,20,11.5,1.1,60,6x12 Cylinder,48.1
297,2018,Nepomuceno et al.,0.43,580.13,193.38,455,455,,,20,20,11.5,1.1,60,6x12 Cylinder,47.1
302,2013,Deng et al.,0.43,0,540.62,617.14,432,,,,,,,,4x4x4 cube,35.1
305,2007,Evangelista and De Brito,0.44,131.73,526.93,633.33,380,2165,2564,20,25,6.8,0.8,,6x6x6 Cube,58.4
306,2012,Hoffmann et al.,0.44,697.67,465.11,722.22,325,2650,,32,15,1.6,0.2,,6x12 Cylinder,54.4
307,2012,Limbachia et al.,0.44,374.63,374.63,506.25,405,2340,2510,20,22,5.3,1.4,40,6x12 Cylinder,31
308,2012,Limbachia et al.,0.44,715.75,0,511.25,409,2340,,20,,5.3,,50,6x12 Cylinder,30
309,2012,Pereira et al.,0.44,45.5,409.5,700,350,2010,2720,12,20,10.9,0.6,128,6x6x6 Cube,53.7
310,2013,Thomas et al.,0.44,129.55,129.55,690.91,380,2320,2540,20,20,5.3,1.8,,6x12 Cylinder,45
311,2013,Thomas et al.,0.44,134.75,134.75,770,385,2320,2540,20,20,5.3,1.8,,6x12 Cylinder,54
312,2013,Ulloa et al.,0.44,71.78,71.78,844.44,380,2330,2590,20,19,5.8,1.2,,6x12 Cylinder,44.6
313,2014,Duan and Poon,0.44,0,354.17,708.33,425,,2600,,20,,0.9,,4x4x4 Cube,61.6
314,2014,Duan and Poon,0.44,311.67,0,708.33,425,2450,,20,,3.1,,,4x4x4 Cube,60
315,2014,Duan and Poon,0.44,269.17,0,708.33,425,2370,,20,,7.1,,,4x4x4 Cube,53.7
316,2014,Duan and Poon,0.44,269.17,0,708.33,425,2360,,20,,7.8,,,4x4x4 Cube,53.2
317,2014,Knaack and Kurama,0.44,23.87,214.83,682,341,,2710,19,19,6.06,0.74,125,,41.4
318,2014,Knaack and Kurama,0.44,170.5,170.5,682,341,,2710,19,19,6.06,0.74,125,,40
319,2014,Knaack and Kurama,0.44,170.5,170.5,682,341,,2710,19,19,6.06,0.74,125,,39.3
320,2014,Knaack and Kurama,0.44,170.5,170.5,682,341,,2710,19,19,6.06,0.74,125,,43.6
321,2014,Knaack and Kurama,0.44,170.5,170.5,682,341,,2710,19,19,6.06,0.74,125,,40.2
322,2014,Knaack and Kurama,0.44,170.5,170.5,682,341,,2710,19,19,6.06,0.74,125,,36.7
323,2014,Knaack and Kurama,0.44,170.5,170.5,682,341,,2710,19,19,6.06,0.74,125,,37.6
324,2014,Knaack and Kurama,0.44,170.5,170.5,682,341,,2710,19,19,6.06,0.74,125,,41.8
325,2014,Knaack and Kurama,0.44,170.5,170.5,682,341,,2710,19,19,6.06,0.74,125,,37.4
326,2014,Knaack and Kurama,0.44,238.7,0,682,341,2180,,19,,6.06,,125,,43.8
327,2014,Knaack and Kurama,0.44,238.7,0,682,341,2180,,19,,6.06,,125,,38.5
328,2014,Knaack and Kurama,0.44,238.7,0,682,341,2180,,19,,6.06,,125,,35.7
329,2014,Knaack and Kurama,0.44,238.7,0,682,341,2180,,19,,6.06,,125,,42
330,2014,Knaack and Kurama,0.44,238.7,0,682,341,2180,,19,,6.06,,125,,37.5
331,2014,Knaack and Kurama,0.44,238.7,0,682,341,2180,,19,,6.06,,125,,39.1
332,2014,Knaack and Kurama,0.44,238.7,0,682,341,2180,,19,,6.06,,125,,39.2
333,2014,Thomas et al.1,0.44,95,95,760,380,2320,2730,19,19,5.3,0.5,,4x8 Cylinder,63.5
334,2014,Thomas et al.1,0.44,134.75,134.75,770,385,2320,2730,19,19,5.3,0.5,,4x8 Cylinder,61.2
335,2018,Thomas et al. 3,0.44,129.55,129.55,690.91,380,2320,2540,20,20,5.3,1.8,17,,63.5
336,2018,Thomas et al. 3,0.44,134.75,134.75,770,385,2320,2540,20,20,5.3,1.8,17,,61.2
337,2000,Limbachia et al.,0.45,0,570.74,650.26,370,2600,,,20,,2.5,,4x4x4 Cube,51.2
338,2000,Limbachia et al.,0.45,171.22,399.52,650.26,370,2410,,20,20,4.9,2.5,,4x4x4 Cube,50.6
339,2000,Limbachia et al.,0.45,285.37,285.37,650.26,370,2410,,20,20,4.9,2.5,,4x4x4 Cube,50.8
340,2000,Limbachia et al.,0.45,570.74,0,650.26,370,2410,,20,,4.9,,,4x4x4 Cube,50.2
341,2002,Gomez-Sobreron,0.45,60,140,800,400,2280,,20,20,5.8,0.9,,6x12 Cylinder,37
346,2007,Evangelista and De Brito,0.45,209,487.67,633.33,380,2165,2564,20,25,6.8,0.8,,6x6x6 Cube,61.3
347,2007,Kou et al.,0.45,0,418.25,701.75,400,,2620,,19,,1.1,,4x4x4 Cube,66.8
348,2007,Kou et al.,0.45,83.65,334.6,701.75,400,2570,2620,20,19,3.5,1.1,,4x4x4 Cube,62.4
349,2007,Kou et al.,0.45,189.12,189.12,701.75,400,2570,2620,20,19,3.5,1.1,,4x4x4 Cube,55.8
350,2007,Kou et al.,0.45,378.25,0,701.75,400,2570,,20,,3.5,,,4x4x4 Cube,42
351,2007,Poon et al.,0.45,384.38,0,640.63,410,2570,,20,,3.5,,,4x4x4 Cube,37.1
354,2008,Kou et al.,0.45,0,320,800,400,,2620,,20,,1.1,,4x8 Cylinder,66.8
355,2008,Kou et al.,0.45,64,256,800,400,2570,,20,20,3.5,1.1,,4x8 Cylinder,62.4
356,2008,Kou et al.,0.45,140,140,800,400,2570,,20,20,3.5,1.1,,4x8 Cylinder,56.8
357,2008,Kou et al.,0.45,200,0,800,400,2570,,20,,3.5,,,4x8 Cylinder,52.1
359,2009,Fathifazl et al.,0.45,404.18,232.32,670,335,2310,,19,,,,,,41.6
360,2009,Fathifazl et al.,0.45,340.96,117.93,650.91,358,2420,,19,,,,,,49.1
361,2010,Corinaldesi,0.45,187,187,680,340,2400,2570,5,30,6.8,3,,4x4x4 Cube,39.6
362,2010,Corinaldesi,0.45,187,187,680,340,2400,2570,22,30,6.8,3,,4x4x4 Cube,45.8
364,2011,Fathifazl et al.,0.45,0,119.49,770.91,424,2420,,,25,,0.9,,6x12 Cylinder,34.1
365,2011,Fathifazl et al.,0.45,336.49,193.42,609.09,335,2420,2740,19,25,5.4,0.9,,6x12 Cylinder,41.4
366,2011,Fathifazl et al.,0.45,319.05,110.36,609.09,335,2420,2740,19,25,3.3,0.9,,6x12 Cylinder,44.8
368,2011,Fathifazl et al.,0.45,0,0,872.5,349,2420,,19,,3.3,,,6x12 Cylinder,45.9
369,2011,Somna et al.,0.45,0,204.29,770.91,424,,2730,,25,,0.45,70,4x8 Cylinder,44.4
370,2011,Somna et al.,0.45,204.29,0,770.91,424,2490,,19,,4.8,,65,4x8 Cylinder,41
